page|60
项目|附 注|2021 年度|2020 年度
一、营业总收入||6,324,150,037.15|5,067,687,414.06
其中：营业收入||6,324,150,037.15|5,067,687,414.06
二、营业总成本||6,025,681,468.72|4,957,735,101.28
其中：营业成本||5,282,188,151.78|4,305,518,141.27
税金及附加||32,844,424.38|20,530,895.36
销售费用||103,650,053.47|82,773,650.07
管理费用||181,213,299.97|136,226,362.49
研发费用||299,025,643.29|230,157,098.82
财务费用||126,759,895.83|182,528,953.27
其中：利息费用||131,690,787.57|117,757,139.61
利息收入||6,314,748.86|6,574,015.63
加：其他收益||127,169,200.59|154,899,705.20
投资收益（损失以“－”号填列）||-2,513,744.41|-1,519,658.54
其中：对联营企业和合营企业的投资收益|||
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
page|61
公允价值变动收益（损失以“－”号填列）|||-46,000.00
信用减值损失（损失以“-”号填列）||-29,761,811.57|-15,961,382.10
资产减值损失（损失以“-”号填列）||-110,484,497.14|-39,626,964.52
资产处置收益（损失以“－”号填列）||47,470.11|-653,387.05
三、营业利润（亏损以“－”号填列）||282,925,186.01|207,044,625.77
加：营业外收入||694,928.79|2,538,526.73
减：营业外支出||1,345,899.80|398,985.42
四、利润总额（亏损总额以“－”号填列）||282,274,215.00|209,184,167.08
减：所得税费用||34,251,600.59|21,626,659.22
五、净利润（净亏损以“－”号填列）||248,022,614.41|187,557,507.86
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||248,022,614.41|187,557,507.86
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||157,439,807.97|120,779,674.09
2.少数股东损益（净亏损以“-”号填列）||90,582,806.44|66,777,833.77
六、其他综合收益的税后净额|||
七、综合收益总额||248,022,614.41|187,557,507.86
（一）归属于母公司所有者的综合收益总额||157,439,807.97|120,779,674.09
（二）归属于少数股东的综合收益总额||90,582,806.44|66,777,833.77
八、每股收益：|||
（一）基本每股收益(元/股)||0.2061|0.1581
（二）稀释每股收益(元/股)||0.2061|0.1581
