page|105
|||2020年度（除特别注明外，金额单位为人民币百万元）||
||2020年度|2019年度|2020年度|2019年度
|附注|合并|合并|公司|公司
一、营业收入||206,538|174,566|204,553|173,035
已赚保费||156,398|135,403|156,398|135,403
保险业务收入|49|159,511|138,131|159,511|138,131
减 ：分出保费|50|(2,898)|(2,427)|(2,898)|(2,427)
提取未到期责任准备金|51|(215)|(301)|(215)|(301)
投资收益|52/74(5)|51,267|35,729|49,049|35,055
其中 ：对 联营企业和合营企业的投资|||||
收益||264|502|231|462
公允价值变动损益|53|(1,900)|2,647|(1,297)|2,042
汇兑损益||(241)|40|(240)|41
资产处置损失|54|(1)|(1)|–|(1)
其他收益|55|88|66|52|34
其他业务收入|56|927|682|591|461
二、营业支出||(190,961)|(161,280)|(190,509)|(160,877)
退保金|57|(12,258)|(12,990)|(12,258)|(12,990)
赔付支出|58|(55,741)|(60,648)|(55,741)|(60,648)
减 ：摊回赔付支出||1,339|1,045|1,339|1,045
提取保险责任准备金|59|(87,199)|(53,734)|(87,199)|(53,734)
减 ：摊回保险责任准备金|60|548|399|548|399
保单红利支出||(577)|(42)|(577)|(42)
税金及附加|61|(263)|(192)|(229)|(165)
手续费及佣金支出||(17,826)|(16,871)|(17,826)|(16,871)
业务及管理费|62|(13,175)|(13,783)|(12,913)|(13,554)
减 ：摊回分保费用||780|746|780|746
其他业务成本|63|(3,849)|(3,174)|(3,693)|(3,027)
资产减值损失|64|(2,740)|(2,036)|(2,740)|(2,036)
三、营业利润||15,577|13,286|14,044|12,158
加 ：营业外收入|65|45|71|30|21
减 ：营业外支出|66|(131)|(136)|(121)|(135)
四、利润总额||15,491|13,221|13,953|12,044
减 ：所得税费用|67|(1,194)|1,339|(594)|1,416
page|106
2020年度（除特别注明外，金额单位为人民币百万元）|||||
||2020年度|2019年度|2020年度|2019年度
|附注|合并|合并|公司|公司
五、净利润||14,297|14,560|13,359|13,460
（一）按经营持续性分类 ：|||||
持续经营净利润||14,297|14,560|13,359|13,460
（二）按所有权归属分类 ：|||||
归属于母公司股东的净利润||14,294|14,559||
少数股东损益||3|1||
六、其他综合收益的税后净额|45|7,290|6,751|7,275|6,728
归属于母公司股东的其他综合收益的税|||||
后净额||7,290|6,751|7,275|6,728
将重分类进损益的其他综合收益||7,290|6,751|7,275|6,728
可供出售金融资产公允价值变动|||||
损益||24,650|16,357|24,573|16,315
减 ：前 期计入其他综合收益当期转|||||
入损益的金额||(6,268)|2,370|(6,241)|2,386
可供出售金融资产公允价值变|||||
