page|109
经营活动现金流入小计||166,202|146,322|166,007|145,541
支付原保险合同赔付款项的现金||(67,258)|(73,252)|(67,258)|(73,252)
支付再保险业务现金净额||(763)|(824)|(763)|(824)
支付保单红利的现金||(575)|(42)|(575)|(42)
支付手续费及佣金的现金||(17,822)|(16,708)|(17,822)|(16,708)
支付给职工以及为职工支付的现金||(8,516)|(8,685)|(7,880)|(8,180)
支付的各项税费||(1,161)|(1,583)|(815)|(1,433)
支付其他与经营活动有关的现金|70(2)|(2,928)|(3,126)|(2,825)|(3,030)
经营活动现金流出小计||(99,023)|(104,220)|(97,938)|(103,469)
page|110
|附注|合并|合并|公司|公司
投资支付的现金||(399,007)|(290,406)|(368,486)|(279,959)
保户质押贷款净增加额||(2,584)|(3,821)|(2,584)|(3,821)
购建固定资产、无形资产和其他长期资产|||||
所支付的现金||(3,035)|(5,042)|(2,447)|(4,150)
支付买入返售金融资产的现金净额||–|(1,460)|–|(1,614)
处置子公司产生的现金净额||(5,302)|–|–|–
支付其他与投资活动有关的现金||(356)|(89)|(1,080)|(537)
投资活动现金流出小计||(410,284)|(300,818)|(374,597)|(290,081)
投资活动产生的现金流量净额||(67,728)|(85,636)|(45,538)|(85,191)
