page|57
项目|本期金额||上期金额|
|合并|母公司|合并|母公司
一、营业收入|1,831,851,280.70|677,227,674.90|1,966,064,612.44|575,336,492.16
二、营业总成本|1,920,595,965.21|746,664,200.62|2,042,052,691.09|643,970,577.00
其中：  营业成本|1,517,561,448.51|561,312,386.43|1,651,288,375.99|508,226,342.48
税金及附加|16,989,958.58|9,386,688.44|18,385,555.85|9,190,820.60
销售费用|131,188,733.71|57,280,038.71|109,791,230.22|774,651.62
管理费用|185,737,215.53|85,785,825.70|195,039,866.99|90,172,124.16
研发费用|50,649,518.17|18,651,305.37|46,904,366.84|21,552,749.89
财务费用|18,469,090.71|14,247,955.97|20,643,295.20|14,053,888.25
其中：利息费用|17,999,780 .21|13,942,332.55|18,805,308.74|14,770,581.51
利息收入|2,110,293.61|1,342,801.32|2,487,236.95|1,921,776.06
加：其他收益|5,122,993.56|200,000.00|5,700,277.26|2,056,087.00
投资收益|168,766,187.22|174,727,840.51|21 5,559,030.70|235,219,734.52
其中：对联营企业和合营企业的投       资收益|140,574,045.58|140,544,148.87|137,440,422.49|137,949,633.91
公允价值变动收益|49,800,725.36|49,800,725.36||
信用减值损失（损失以“-”填列）|-70,642,131.10|- 15,348,019.44||
资产减值损失（损失以“-”填列）|-1,200,000.00||-  28,928,629.66|-  5,390,211.76
资产处置收益|1,194,791.09|582,050.16|374,143.29|271,569.52
三、营业利润|64,297,881.62|140,526,070.87|116,716,742.94|163,523,094.44
加：营业外收入|2,689,879.18|230.14|2,789,542.50|211,209.29
减：营业外支出|271,747.60|80,558.30|629,617.30|82,400.85
四、利润总额|66,716,013.20|140,445,742.71|118,876,668.14|163,651,902.88
减：所得税费用|-19,408,657.83|-11,600,611.47|6,858,302.64|1,511,217.45
五、净利润|86,124 ,671.03|152,046,354.18|112,018,365.50|162,140,685.43
（一）按经营持续性分类||||
1、持续经营净利润|86,124,671.03|152,046,354.18|112,018,365.50|162,140,685.43
2、终止经营净利润||||
（二）按所有权归属分类||||
1、归属于母公司股东的净利润|89,112,113.43|152,046,354.18|110,503,175.90|162,140,685.43
page|58
2、少数股东损益|-2,987,442.40||1,515,189.60|
六、其他综合收益的税后净额|||-110,359,036.56|-110,359,036.56
归属于母公司所有者的其他综合收益的税后净额|||-110,359,036.56|-110,359,036.56
（一）不能重分类进损益的其他综合收益||||
1 、重新计量设定受益计划净负债或净资产的变动||||
2 、权益法下在被投资单位不能转损益的其他综合收益中享有的份额||||
（二）将重分类进损益的其他综合收益|||- 110,359,036.56|-110,359,036.56
1 、权益法下可转损益的其他综合收益||||
2 、其他债权投资公允价值变动||||
3 、可供出售金融资产公允价值变动损益|||- 110,359,036.56|-110,359,036.56
4 、金融资产重分类计入其他综合收益的金额||||
5 、持有至到期投资重分类为可供出售金融资产损益||||
6 、其他债权投资信用减值准备||||
7 、现金流量套期储备||||
8 、外币财务报表折算差额||||
9 、其他||||
归属于少数股东的其他综合收益的税后净额||||
七、综合收益总额|86,124,671.03|152,046,354.18|1,659,328.94|51,781,648.87
归属于母公司所有者的综合收益总额|89,112,113.43|152,046,354.18|144,139.34|51,781,648.87
归属于少数股东的综合收益总额|-2,987,442.40||1,515,189.60|
八、每股收益：||||
（一）基本每股收益|0.106||0.13|
（二）稀释每股收益|0.106||0.13|
