page|59
项目|本期金额||上期金额|
|合并|母公司|合并|母公司
一、经营活动产生的现金流量：||||
销售商品、提供劳务收到的现金|1,417,012,800.61|535,357,771.94|1,406,762,006.49|478,478,693.07
收到的税费返还|29,188,090.73|8,327,328.58|37,310,011.82|21,407,074.38
收到其他与经营活动有关的现金|54,087,045.61|11,312,270.00|57,298,204.14|22,740,262.64
经营活动现金流入小计|1,500,287,936.95|554,997,370.52|1,501,370,222.45|522,626,030.09
购买商品、接受劳务支付的现金|916,130,720.58|350,757,870.86|1,033,353,346.60|489,59 5,806.59
支付给职工以及为职工支付的现金|358,011,091.30|121,469,816.85|351,958,914.28|128,932,475.57
支付的各项税费|69,484,985.96|20,464,873.54|88,740,477.26|8,443,980.99
支付其他与经营活动有关的现金|143,966,067.30|38,098,271.01|146,975,369.95|25,098,969.48
经营活动现金流出小计|1,487,592,865.14|530,790,832.26|1,621,028,108.09|652,071,232.63
经营活动产生的现金流量净额|12,695,071.81|24,206,538.26|-119,657,885.64|-129,445,202.54
二、投资活动产生的现金流量：||||
收回投资收到的现金|||3,000,000.00|3,000,000.00
取得投资收益收到的现金|112,384,931.89|112,621,481.89|150,471,312.40|150,437,862.40
处置固定、无形和其他长期资产收回现金净额|1,791,731.61|910,000.00|4,564,174.11|429,000.00
处置子公司及其他单位收到的现金净额|||-3,087,767.47|
收到其他与投资活动有关的现金|||76,000,000.00|76,000,000.00
投资活动现金流入小计|114,176,663.50|113,531,481.89|230,947,719.04|229,866,862.40
购建固定、无形和其他长期资产支付的现金|114,061,103.54|108,473,985.73|154,087,329.20|142,823,008.41
投资支付的现金|||9,900,000.00|109,800,000.00
取得子公司及其他营业单位支付的现金净额|||4,227,733.43|
支付其他与投资活动有关的现金||||
投资活动现金流出小计|114,061,103.54|108,473,985.73|168,215,062.63|252,623,008.41
投资活动产生的现金流量净额|115,559.96|5,057,496.16|62,732,656.41|-22,756,146.01
三、筹资活动产生的现金流量：||||
吸收投资收到的现金||||
其中：子公司吸收少数股东投资收到的现金||||
取得借款收到的现金|461,162,100.00|358,082,000.00|410,954,000.00|400,000,000.00
发行债券收到的现金|||174,504,000.00|174,504,000.00
收到其他与筹资活动有关的现金|38,323,050.64||32,116,287.80|
筹资活动现金流入小计|499,485 ,150.64|358,082,000.00|617,574,287.80|574,504,000.00
page|60
偿还债务支付的现金|371,623,748.91|300,000,000.00|510,674,100.00|410,000,000.00
分配股利、利润或偿付利息支付的现金|59,750,220.60|51,085,785.39|63,418,879.42|56,097,200.94
其中：子公司支付给少数股东的股利、利润|118,455.63||3,615,000.00|
支付其他与筹资活动有关的现金|83,977,335.68|48,309,544.36|42,962,043.00|3,446,078.94
筹资活动现金流出小计|515,351,305.19|399,395,329.75|617,055,022.42|469,543,279.88
筹资活动产生的现金流量净额|-15,866,154.55|-41,313,329.7 5|519,265.38|104,960,720.12
四、汇率变动对现金及现金等价物的影响|-120,557.13|-83,793.31|-3,584,007.99|- 438,278.61
五、现金及现金等价物净增加额|-3,176,079.91|-12,133,088.64|-59,989,971.84|-47,678,907.04
加：期初现金及现金等价物余额|304,703,434.47|186,976,185.10|364,693,406.31|234,655,092.14
六、期末现金及现金等价物余额|301,527,354.56|174,843,096.46|304,703,434.47|186,976,185.10
