page|74
项目|附注|2019年度|2018年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||7,023,508,251.68|6,618,689,476.46
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||2,313,705.47|
收到其他与经营活动有关的现金|七、76|196,148,377.20|175,039,360.15
经营活动现金流入小计||7,221,970,334.35|6,793,728,836.61
购买商品、接受劳务支付的现金||5,942,327,068.41|5,712,368,970.12
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||282,836,563.99|264,789,124.60
支付的各项税费||190,925,502.15|99,304,379.11
支付其他与经营活动有关的现金|七、76|123,679,471.77|180,923,716.31
经营活动现金流出小计||6,539,768,606.32|6,257,386,190.14
经营活动产生的现金流量净额||682,201,728.03|536,342,646.47
二、投资活动产生的现金流量：|||
收回投资收到的现金||831,440,000.00|2,407,350,000.00
page|75
取得投资收益收到的现金||31,490,266.86|231,165,719.77
处置固定资产、无形资产和其他长期资产收回的现金净额||5,923,896.18|402,433,450.50
处置子公司及其他营业单位收到的现金净额|||909,141,330.31
收到其他与投资活动有关的现金|||
投资活动现金流入小计||868,854,163.04|3,950,090,500.58
购建固定资产、无形资产和其他长期资产支付的现金||312,105,526.05|503,078,954.76
投资支付的现金||751,340,000.00|4,460,230,000.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|||
投资活动现金流出小计||1,063,445,526.05|4,963,308,954.76
投资活动产生的现金流量净额||-194,591,363.01|-1,013,218,454.18
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||62,000,000.00
其中：子公司吸收少数股东投资收到的现金|||62,000,000.00
取得借款收到的现金||7,170,114,500.00|6,745,741,500.00
收到其他与筹资活动有关的现金|七、76|213,592,179.70|1,974,190,000.00
筹资活动现金流入小计||7,383,706,679.70|8,781,931,500.00
偿还债务支付的现金||6,745,565,564.13|5,716,873,559.05
分配股利、利润或偿付利息支付的现金||527,479,400.77|462,714,697.15
其中：子公司支付给少数股东的股利、利润||15,342,935.27|725,327.97
支付其他与筹资活动有关的现金|七、76|558,235,460.97|2,289,068,478.27
筹资活动现金流出小计||7,831,280,425.87|8,468,656,734.47
筹资活动产生的现金流量净额||-447,573,746.17|313,274,765.53
四、汇率变动对现金及现金等价物的影响||48,250.99|264,446.64
五、现金及现金等价物净增加额||40,084,869.84|-163,336,595.54
加：期初现金及现金等价物余额||360,482,500.44|523,819,095.98
六、期末现金及现金等价物余额||400,567,370.28|360,482,500.44
