page|106
项目|附 注|2019年度|2018年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||17,084,333,385.30|15,732,580,380.17
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||47,926,227.86|14,375,558.75
收到其他与经营活动有关的现金||286,016,431.22|176,689,208.89
经营活动现金流入小计||17,418,276,044.38|15,923,645,147.81
购买商品、接受劳务支付的现金||15,561,153,730.68|15,137,745,857.09
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||275,021,466.90|154,865,545.11
支付的各项税费||111,602,189.51|87,807,728.26
支付其他与经营活动有关的现金||1,382,619,075.09|450,856,863.58
经营活动现金流出小计||17,330,396,462.18|15,831,275,994.04
经营活动产生的现金流量净额||87,879,582.20|92,369,153.77
二、投资活动产生的现金流量：|||
收回投资收到的现金||1,122,846,925.79|3,777,634,056.53
取得投资收益收到的现金||16,079,051.71|194,764,699.06
处置固定资产、无形资产和其他长期资产收回的现金净额||3,662,902.91|4,947,540.45
处置子公司及其他营业单位收到的现金净额||146,079,692.83|
收到其他与投资活动有关的现金||3,647,034.99|3,748,859.46
投资活动现金流入小计||1,292,315,608.23|3,981,095,155.50
购建固定资产、无形资产和其他长期资产支付的现金||543,255,587.87|574,568,366.71
投资支付的现金||1,110,228,004.32|4,203,455,587.70
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金||6,525,346.68|16,200,597.24
投资活动现金流出小计||1,660,008,938.87|4,794,224,551.65
投资活动产生的现金流量净额||-367,693,330.64|-813,129,396.15
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||586,999,989.16|300,000,000.00
page|107
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金||1,513,175,000.00|1,029,603,988.29
收到其他与筹资活动有关的现金||312,823,360.00|849,835,795.00
筹资活动现金流入小计||2,412,998,349.16|2,179,439,783.29
偿还债务支付的现金||1,405,752,356.49|1,289,447,329.52
分配股利、利润或偿付利息支付的现金||156,954,099.15|130,417,225.09
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金||303,914,119.14|1,208,736,240.53
筹资活动现金流出小计||1,866,620,574.78|2,628,600,795.14
筹资活动产生的现金流量净额||546,377,774.38|-449,161,011.85
四、汇率变动对现金及现金等价物的影响||9,463,066.53|7,985,491.43
五、现金及现金等价物净增加额||276,027,092.47|-1,161,935,762.80
加：期初现金及现金等价物余额||954,959,216.89|2,116,894,979.69
六、期末现金及现金等价物余额||1,230,986,309.36|954,959,216.89
