page|141
资        产|附注|2021年12月31日|2020年12月31日
流动资产|||
货币资金|四(1)|178,912,750|174,768,285
交易性金融资产|四(2)|7,154,251|5,057,604
衍生金融资产|四(3)|149,399|160,000
应收票据|四(4)|4,949,677|5,537,542
应收账款|四(5)|122,120,354|107,876,645
应收款项融资|四(6)|526,055|522,438
预付款项|四(7)|47,765,130|30,290,318
其他应收款|四(8)|32,549,329|31,666,203
存货|四(9)|203,445,797|192,661,730
合同资产|四(10)|149,141,915|143,903,756
一年内到期的非流动资产|四(11)|9,831,049|9,750,909
其他流动资产|四(12)|44,242,190|39,591,506
流动资产合计||800,787,896|741,786,936
|||
非流动资产|||
债权投资|四(13)|22,959,756|18,772,757
长期应收款|四(14)|14,617,964|41,141,254
长期股权投资|四(15)|96,160,248|78,497,380
其他权益工具投资|四(16)|12,163,573|9,668,029
其他非流动金融资产|四(17)|12,294,385|10,563,975
投资性房地产|四(18)|14,016,218|14,503,633
固定资产|四(19)|67,550,916|65,458,033
在建工程|四(20)|6,847,368|5,938,983
使用权资产|四(21)|1,658,836|1,892,218
无形资产|四(22)|125,624,762|77,620,259
开发支出|四(22)|203,013|60,041
商誉|四(23)|1,567,879|1,411,891
长期待摊费用|四(24)|1,160,284|1,216,585
递延所得税资产|四(25)|10,372,049|9,332,666
其他非流动资产|四(26)|173,741,036|122,257,468
非流动资产合计||560,938,287|458,335,172
|||
资产总计||1,361,726,183|1,200,122,108
page|142
负  债  及  股  东  权  益|附注|2021年12月31日|2020年12月31日
流动负债|||
短期借款|四(28)|52,843,114|52,701,736
吸收存款|四(29)|3,243,428|3,395,951
交易性金融负债||53,857|64,902
衍生金融负债||68,102|
应付票据|四(30)|84,917,323|77,353,532
应付账款|四(31)|320,602,726|307,211,812
预收款项|四(32)|446,104|392,551
合同负债|四(33)|144,095,346|124,659,610
应付职工薪酬|四(34)|4,100,021|3,776,514
应交税费|四(35)|11,721,481|11,827,806
其他应付款|四(36)|92,997,355|74,392,819
一年内到期的非流动负债|四(37)|46,624,311|25,679,713
其他流动负债|四(38)|26,147,134|23,687,405
流动负债合计||787,860,302|705,144,351
|||
非流动负债|||
长期借款|四(39)|161,579,287|119,970,402
应付债券|四(40)|33,562,826|41,705,388
租赁负债|四(41)|971,804|1,236,781
长期应付款|四(42)|13,705,513|13,451,123
长期应付职工薪酬|四(45)|2,292,672|2,481,586
预计负债|四(43)|760,626|561,991
递延收益|四(44)|988,805|879,501
递延所得税负债|四(25)|1,646,855|1,453,770
其他非流动负债|四(46)|14,910|42,960
非流动负债合计||215,523,298|181,783,502
|||
负债合计||1,003,383,600|886,927,853
|||
股东权益|||
股本|四(47)|24,570,929|24,570,929
其他权益工具|四(48)|45,624,435|46,738,385
其中：永续债||45,624,435|46,738,385
资本公积|四(49)|55,578,265|55,424,641
其他综合收益|四(50)|(1,235,607)|(1,076,346)
专项储备|四(51)||
盈余公积|四(52)|13,423,029|11,585,080
一般风险储备|四(53)|3,241,146|2,977,541
未分配利润|四(53)|134,068,659|115,124,600
归属于母公司股东权益合计||275,270,856|255,344,830
少数股东权益||83,071,727|57,849,425
股东权益合计||358,342,583|313,194,255
|||
负债及股东权益总计||1,361,726,183|1,200,122,108
page|143
项         目|附注|2021年度|2020年度
一、营业总收入||1,073,271,725|974,748,790
其中：营业收入|四(54)|1,070,417,452|971,404,889
利息收入||731,964|1,342,295
手续费及佣金收入||2,122,309|2,001,606
二、营业总成本||1,028,421,297|935,840,286
减： 营业成本|四(54)|963,406,073|874,935,845
利息支出||290,897|806,915
税金及附加|四(55)|5,930,035|5,724,008
销售费用|四(56)|5,948,121|4,857,023
管理费用|四(57)|24,285,831|22,587,118
研发费用|四(58)|24,756,054|21,837,697
财务费用|四(60)|3,804,286|5,091,680
其中：利息费用||7,389,996|6,467,522
利息收入||5,041,931|2,796,493
加： 其他收益|四(61)|1,358,524|1,117,942
投资收益|四(62)|631,285|798,358
其中：对联营企业和合营企业的投资收益||3,301,774|2,194,572
以摊余成本计量的金融资产终止确认损失||(4,594,728)|(3,302,069)
公允价值变动(损失)/收益|四(63)|(514,526)|217,801
信用减值损失|四(64)|(4,254,082)|(2,296,106)
资产减值损失|四(65)|(3,716,128)|(5,757,741)
资产处置收益|四(66)|426,171|588,927
三、营业利润||38,781,672|33,577,685
加：营业外收入|四(67)|786,500|799,451
减：营业外支出|四(68)|1,981,993|994,081
四、利润总额||37,586,179|33,383,055
减：所得税费用|四(69)|7,116,664|6,133,626
五、净利润||30,469,515|27,249,429
按经营持续性分类|||
持续经营净利润||30,469,515|27,249,429
终止经营净利润||-|-
按所有权归属分类|||
少数股东损益||2,851,905|2,061,636
归属于母公司股东的净利润||27,617,610|25,187,793
六、其他综合收益的税后净额|四(50)|(195,955)|(882,808)
归属于母公司股东的其他综合收益的税后净额||(159,261)|(810,701)
不能重分类进损益的其他综合收益||(2,154)|(161,966)
重新计量设定受益计划变动额||(64,540)|4,783
其他权益工具投资公允价值变动||62,386|(166,749)
将重分类进损益的其他综合收益||(157,107)|(648,735)
权益法下可转损益的其他综合收益||(107,909)|(189,112)
外币财务报表折算差额||(49,198)|(459,548)
其他|||(75)
归属于少数股东的其他综合收益的税后净额||(36,694)|(72,107)
七、综合收益总额||30,273,560|26,366,621
归属于母公司股东的综合收益总额||27,458,349|24,377,092
归属于少数股东的综合收益总额||2,815,211|1,989,529
八、每股收益|四(70)||
基本每股收益(人民币元)||1.037|0.963
稀释每股收益(人民币元)||1.037|0.963
page|144
项         目|附注|2021年度|2020年度
一、经营活动产生的现金流量|||
销售商品、提供劳务收到的现金||1,161,677,670|1,036,013,530
收取利息、手续费及佣金的现金||2,840,314|3,328,339
收到的税费返还||314,926|281,617
客户贷款及垫款净减少额||116,903|
客户存款净增加额|||2,254,829
收到其他与经营活动有关的现金|四(71)(a)|11,466,182|11,152,153
经营活动现金流入小计||1,176,415,995|1,053,030,468
购买商品、接受劳务支付的现金||998,747,630|871,994,979
客户存款净减少额||152,523|-
客户贷款及垫款净增加额||-|2,891,624
支付利息、手续费及佣金的现金||290,897|806,915
支付给职工以及为职工支付的现金||86,867,165|78,116,666
支付的各项税费||33,404,747|28,755,995
存放中央银行款项的净增加额||309,200|461,590
支付其他与经营活动有关的现金|四(71)(b)|43,574,367|39,008,628
经营活动现金流出小计||1,163,346,529|1,022,036,397
经营活动产生的现金流量净额|四(72)(a)|13,069,466|30,994,071
|||
二、投资活动产生的现金流量|||
收回投资收到的现金||7,047,287|6,922,874
取得投资收益所收到的现金||2,207,761|2,442,664
处置固定资产、无形资产和其他长期资产收回的现金净额||2,260,729|1,669,441
处置子公司及其他营业单位收到的现金净额||-|2,539,902
收到其他与投资活动有关的现金|四(71)(c)|5,198,000|724,664
投资活动现金流入小计||16,713,777|14,299,545
购建固定资产、无形资产和其他长期资产支付的现金||55,973,693|43,290,967
投资支付的现金||35,636,043|29,597,376
取得子公司及其他营业单位支付的现金净额||749,922|99,935
处置子公司及其他营业单位减少的现金净额|四(72)(c)|696,113|-
支付其他与投资活动有关的现金|四(71)(d)|1,116,232|4,453,980
