page|89
合 并 利 润 表编制单位：山东胜利股份有限公司2021年度单位：人民币元|||
项             目|附注|本期发生额|上期发生额
一、营业收入|五、（四十二）|4,547,621,826.17|4,596,360,862.81
减：营业成本|五、（四十二）|3,882,172,787.95|3,818,187,748.92
税金及附加|五、（四十三）|13,949,005.18|13,422,824.19
销售费用|五、（四十四）|248,311,583.47|225,501,617.90
管理费用|五、（四十五）|182,189,640.66|136,118,169.43
研发费用|五、（四十六）|25,944,173.50|28,135,939.75
财务费用|五、（四十七）|126,139,169.34|87,151,318.74
其中：利息费用|五、（四十七）|142,345,396.78|107,245,888.47
利息收入|五、（四十七）|19,510,524.50|23,443,107.39
加：其他收益|五、（四十八）|4,676,441.47|8,411,707.55
投资收益（损失以“－”号填列）|五、（四十九）|282,623,668.18|28,219,296.81
其中：对联营企业和合营企业的投资收益|五、（四十九）|282,230,832.56|28,219,296.81
以摊余成本计量的金融资产终止确认收益|||
净敞口套期收益（损失以“－”号填列）|||
公允价值变动收益（损失以“－”号填列）|五、（五十）|-608,028.00|35,031,762.00
信用减值损失（损失以“－”号填列）|五、（五十一）|-21,186,119.55|-3,362,290.95
资产减值损失（损失以“－”号填列）|五、（五十二）|-101,694,793.44|-58,897,201.05
资产处置收益（损失以“－”号填列）|五、（五十三）|2,533,424.33|7,269,121.20
二、营业利润（亏损以“－”号填列）||235,260,059.06|304,515,639.44
加：营业外收入|五、（五十四）|1,247,048.85|3,512,401.35
减：营业外支出|五、（五十五）|6,952,115.37|10,474,874.76
三、利润总额（亏损总额以“－”号填列）||229,554,992.54|297,553,166.03
减：所得税费用|五、（五十六）|120,629,749.85|81,916,930.90
四、净利润（净亏损以“－”号填列）||108,925,242.69|215,636,235.13
（一）按经营持续性分类：|||
1.持续经营净利润（净亏损以“－”号填列）||108,925,242.69|215,638,794.57
2.终止经营净利润（净亏损以“－”号填列）|||-2,559.44
（二）按所有权归属分类：|||
1.归属于母公司股东的净利润（净亏损以“－”号填列）||110,033,081.90|142,314,776.28
2.少数股东损益（净亏损以“－”号填列）||-1,107,839.21|73,321,458.85
五、其他综合收益的税后净额||64,665,971.21|-19,289,524.88
（一）归属母公司股东的其他综合收益的税后净额||61,770,307.76|-19,289,524.88
1.不能重分类进损益的其他综合收益||61,770,307.76|-19,289,524.88
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动||61,770,307.76|-19,289,524.88
（4）企业自身信用风险公允价值变动|||
2.将重分类进损益的其他综合收益|||
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备（现金流量套期损益的有效部分）|||
（6）外币财务报表折算差额|||
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额||2,895,663.45|
六、综合收益总额||173,591,213.90|196,346,710.25
（一）归属于母公司股东的综合收益总额||171,803,389.66|123,025,251.40
（二）归属于少数股东的综合收益总额||1,787,824.24|73,321,458.85
七、每股收益|||
（一）基本每股收益||0.13|0.16
（二）稀释每股收益||0.13|0.16
