page|125
项目|附注|本期金额|上期金额
一、经营活动产生的现金流量|||
销售商品、提供劳务收到的现金||3,250,310,564.04|3,041,844,597.38
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||13,966,495.94|10,995,680.53
收到其他与经营活动有关的现金|五（五十一）|414,636,542.11|455,339,971.20
经营活动现金流入小计||3,678,913,602.09|3,508,180,249.11
购买商品、接受劳务支付的现金||1,435,296,651.13|1,154,049,033.49
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工以及为职工支付的现金||589,080,714.94|588,361,320.68
支付的各项税费||455,299,966.48|291,578,719.16
支付其他与经营活动有关的现金|五（五十一）|500,104,486.31|546,124,103.27
经营活动现金流出小计||2,979,781,818.86|2,580,113,176.60
经营活动产生的现金流量净额||699,131,783.23|928,067,072.51
二、投资活动产生的现金流量|||
收回投资收到的现金||506,297,853.00|892,202,319.73
取得投资收益收到的现金||36,950,631.45|79,500,194.80
处置固定资产、无形资产和其他长期资产收回的现金净额||423,087.60|104,243,108.23
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|五（五十一）|70,634,465.97|187,074,990.89
投资活动现金流入小计||614,306,038.02|1,263,020,613.65
购建固定资产、无形资产和其他长期资产支付的现金||973,278,132.74|651,286,792.88
投资支付的现金||235,500,000.00|500,000,000.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|五（五十一）|70,663,133.84|56,296,415.09
投资活动现金流出小计||1,279,441,266.58|1,207,583,207.97
投资活动产生的现金流量净额||-665,135,228.56|55,437,405.68
三、筹资活动产生的现金流量|||
吸收投资收到的现金|||3,000,000.00
其中：子公司吸收少数股东投资收到的现金|||3,000,000.00
取得借款收到的现金||5,087,750,000.00|5,773,125,000.00
收到其他与筹资活动有关的现金|五（五十一）|22,751,225.00|2,940,000.00
筹资活动现金流入小计||5,110,501,225.00|5,779,065,000.00
page|126
项目|附注|本期金额|上期金额
偿还债务支付的现金||5,564,111,959.98|5,550,657,592.00
分配股利、利润或偿付利息支付的现金||432,739,257.08|364,467,146.04
其中：子公司支付给少数股东的股利、利润||49,751,295.32|61,379,085.83
支付其他与筹资活动有关的现金|五（五十一）|39,685,654.33|427,121,936.08
筹资活动现金流出小计||6,036,536,871.39|6,342,246,674.12
筹资活动产生的现金流量净额||-926,035,646.39|-563,181,674.12
四、汇率变动对现金及现金等价物的影响||-154,115.27|14,863.55
五、现金及现金等价物净增加额||-892,193,206.99|420,337,667.62
加：期初现金及现金等价物余额||2,280,655,189.86|1,860,317,522.24
六、期末现金及现金等价物余额||1,388,461,982.87|2,280,655,189.86
