page|123
华夏银行股份有限公司|||||
合并及银行现金流量表|||||
2021 年度|||||
(除另有注明外，金额单位均为人民币百万元)|||||
||本集团||本银行|
|附注九|2021 年|2020 年|2021 年|2020 年
经营活动产生的现金流量|||||
客户存款和同业及其他金融机构|||||
存放款项净增加额||192,307|294,341|187,945|297,718
存放中央银行和同业款项净减少额||5,157|2,134|4,839|2,087
拆入资金及卖出回购金融资产款净增加额||2,437|-|-|-
经营性应付债务凭证净增加额||10,121|65,077|10,121|65,077
向中央银行借款净增加额                                                              18,440                        -              18,500                       -|||||
收取利息、手续费及佣金的现金||133,838|129,721|125,871|122,333
收到其他与经营活动有关的现金||5,714|1,796|5,665|1,503
||_______|________|_______|________
经营活动现金流入小计||368,014|493,069|352,941|488,718
||_______|________|_______|________
客户贷款和垫款净增加额||(127,409)|(266,629)|(117,832)|(249,974)
拆入资金及卖出回购金融资产款净减少额||-|(39,485)|(195)|(51,784)
拆出资金及买入返售金融资产净增加额||(49,873)|(26,069)|(58,373)|(25,568)
向中央银行借款净减少额||-|(11,654)|-|(11,700)
为交易目的而持有的金融资产净增加额||(12,293)|(9,324)|(12,014)|(9,023)
支付利息、手续费及佣金的现金||(67,137)|(61,653)|(64,535)|(59,047)
支付给职工以及为职工支付的现金||(15,700)|(14,670)|(15,209)|(14,411)
支付的各项税费||(16,163)|(12,296)|(15,464)|(11,607)
支付其他与经营活动有关的现金||(8,424)|(16,530)|(6,509)|(16,182)
||_______|________|_______|________
经营活动现金流出小计||(296,999)|(458,310)|(290,131)|(449,296)
||_______|________|_______|________
经营活动产生的现金流量净额|46|71,015|34,759|62,810|39,422
||_______|________|_______|________
投资活动产生的现金流量|||||
收回投资收到的现金||642,617|498,658|640,971|498,079
取得投资收益收到的现金||38,847|36,797|38,732|36,716
处置固定资产、无形资产和|||||
其他长期资产收到的现金净额||348|206|59|204
||_______|________|_______|________
投资活动现金流入小计||681,812|535,661|679,762|534,999
||_______|________|_______|________
投资支付的现金||(783,881)|(596,099)|(779,153)|(595,166)
购建固定资产、无形资产和|||||
其他长期资产支付的现金||(1,652)|(1,266)|(1,065)|(1,260)
取得子公司支付的现金||-|-|-|(3,000)
||_______|________|_______|________
投资活动现金流出小计||(785,533)|(597,365)|(780,218)|(599,426)
||_______|________|_______|________
投资活动产生的现金流量净额||(103,721)|(61,704)|(100,456)|(64,427)
||_______|________|_______|________
page|124
2021 年度|||||
(除另有注明外，金额单位均为人民币百万元)|||||
|||本集团|本银行|
|附注九|2021 年|2020 年|2021 年|2020 年
筹资活动产生的现金流量|||||
发行债券所收到的现金||71,000|65,000|67,000|63,000
||______|______|______|______
筹资活动现金流入小计||71,000|65,000|67,000|63,000
||______|______|______|______
偿还债务支付的现金||(45,500)|(22,000)|(43,000)|(22,000)
分配股利、利润或偿付利息支付的现金||(12,719)|(10,776)|(12,453)|(10,583)
偿还租赁负债本金和利息支付的现金||(2,331)|不适用|(2,263)|不适用
||______|______|______|______
筹资活动现金流出小计||(60,550)|(32,776)|(57,716)|(32,583)
||______|______|______|______
筹资活动产生的现金流量净额||10,450|32,224|9,284|30,417
||______|______|______|______
汇率变动对现金及现金等价物的影响额||(479)|(582)|(479)|(582)
||______|______|______|______
现金及现金等价物净变动额|46|(22,735)|4,697|(28,841)|4,830
加：年初现金及现金等价物余额||97,364|92,667|96,997|92,167
||______|______|______|______
年末现金及现金等价物余额|45|74,629|97,364|68,156|96,997
||______|______|______|______
