page|98
资产|附注五|2020年12月31日|2019年12月31日
流动资产|||
货币资金|1|21,708,905|18,648,185
交易性金融资产|2|5,300,046|6,074,751
衍生金融资产|3|453,578|159,036
应收票据|4|595,685|228,942
应收账款|5|12,557,614|8,340,354
应收款项融资|6|2,176,744|-
预付款项|7|1,355,653|364,423
其他应收款|8|2,793,640|2,750,042
存货|9|8,834,958|5,677,963
合同资产|10|183,650|-
持有待售资产|11|360,936|-
其他流动资产|12|9,367,055|5,911,827
流动资产合计||65,688,464|48,155,523
非流动资产|||
发放贷款和垫款|13|981,876|3,637,768
债权投资|14|119,350|20,373
其他债权投资|15|152,063|-
长期应收款|16|778,889|-
长期股权投资|17|24,047,036|17,194,284
其他权益工具投资|18|1,333,676|279,884
其他非流动金融资产|19|3,055,595|2,542,689
投资性房地产|20|1,664,201|82,273
固定资产|21|92,829,902|45,459,070
在建工程|22|31,508,311|33,578,290
无形资产|23|10,054,045|5,684,584
开发支出|24|2,103,995|1,548,471
商誉|25|6,943,265|2,452
长期待摊费用|26|2,536,670|1,567,691
递延所得税资产|27|1,578,088|840,874
其他非流动资产|28|12,532,853|4,250,659
非流动资产合计||192,219,815|116,689,362
资产总计||257,908,279|164,844,885
page|99
|TCL 科技集团股份有限公司||
|合并资产负债表(续)||
|人民币千元||
负债及股东权益|附注五|2020年12月31日|2019年12月31日
流动负债|||
短期借款|29|12,263,714|12,069,657
向中央银行借款|30|469,834|573,222
吸收存款及同业存放|31|2,850,139|1,355,129
交易性金融负债|32|527,901|188,220
衍生金融负债|33|384,904|84,705
应付票据|34|4,725,612|1,720,402
应付账款|35|16,468,932|11,549,133
预收款项|36|78,597|141,749
合同负债|37|2,004,004|-
卖出回购金融资产款|38|50,080|-
应付职工薪酬|39|1,856,664|1,094,217
应交税费|40|670,059|226,806
其他应付款|41|14,869,433|12,293,566
一年内到期的非流动负债|42|13,429,670|1,691,963
其他流动负债|43|366,971|69,022
流动负债合计||71,016,514|43,057,791
非流动负债|||
长期借款|44|73,589,403|38,512,059
应付债券|45|18,040,773|16,479,085
长期应付款|46|1,280,300|24,206
长期应付职工薪酬|39|27,858|23,018
递延收益|47|1,509,867|1,912,421
递延所得税负债|27|2,386,497|952,678
其他非流动负债|48|-|483
非流动负债合计||96,834,698|57,903,950
负债合计||167,851,212|100,961,741
股本|49|14,030,788|13,528,439
其他权益工具|50|230,241|-
资本公积|51|5,442,385|5,716,667
减：库存股|52|1,913,029|1,952,957
其他综合收益|73|(145,573)|(534,082)
盈余公积|53|2,452,892|2,238,368
专项储备|54|211|-
一般风险准备|55|386|361
未分配利润|56|14,009,494|11,115,150
归属母公司股东权益合计||34,107,795|30,111,946
少数股东权益||55,949,272|33,771,198
股东权益合计||90,057,067|63,883,144
负债及股东权益总计||257,908,279|164,844,885
|主管会计|会计机构|
