page|61
项目|附注七|2019 年度|2018 年度
一、营业总收入||49,874,086,874.95|51,213,965,746.52
其中：营业收入|59|49,874,086,874.95|51,213,965,746.52
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||25,959,547,802.90|27,015,770,358.65
其中：营业成本|59|18,697,294,123.93|19,005,155,553.67
利息支出|||
page|62
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|60|1,168,814,152.25|1,288,501,782.23
销售费用|61|27,792,136.69|25,031,690.50
管理费用|62|813,629,745.43|800,645,932.82
研发费用|63|41,066,919.32|42,489,564.24
财务费用|64|5,210,950,725.28|5,853,945,835.19
其中：利息费用||5,200,957,545.39|5,922,238,642.38
利息收入||71,556,891.30|75,978,656.86
加：其他收益|65|2,606,789.45|718,125,034.37
投资收益（损失以“－”号填列）|66|3,074,753,621.99|2,707,047,532.57
其中：对联营企业和合营企业的投资收益||2,077,234,391.59|1,448,835,963.60
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|68|-26,947,041.04|36,493,396.71
信用减值损失（损失以“-”号填列）|69|3,342,701.66|
资产减值损失（损失以“-”号填列）|70|-35,595,283.18|-274,851,752.85
资产处置收益（损失以“－”号填列）|71|26,792.08|7,060,530.24
三、营业利润（亏损以“－”号填列）||26,932,726,653.01|27,392,070,128.91
加：营业外收入|72|29,219,094.32|11,862,727.24
减：营业外支出|73|334,933,992.54|396,826,704.51
四、利润总额（亏损总额以“－”号填列）||26,627,011,754.79|27,007,106,151.64
减：所得税费用|74|5,059,564,654.60|4,363,554,880.40
五、净利润（净亏损以“－”号填列）||21,567,447,100.19|22,643,551,271.24
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||21,567,447,100.19|22,643,551,271.24
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||21,543,493,635.57|22,610,936,420.39
2.少数股东损益（净亏损以“-”号填列）||23,953,464.62|32,614,850.85
六、其他综合收益的税后净额||407,999,197.81|-508,649,037.87
（一）归属母公司所有者的其他综合收益的税后净额||406,775,213.14|-511,035,938.43
1．不能重分类进损益的其他综合收益||251,672,950.90|-3,810,441.43
（1）重新计量设定受益计划变动额|||
page|63
（2）权益法下不能转损益的其他综合收益||46,955,233.27|-3,810,441.43
（3）其他权益工具投资公允价值变动||204,717,717.63|
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益||155,102,262.24|-507,225,497.00
（1）权益法下可转损益的其他综合收益||90,347,208.15|-245,100,018.87
（2）其他债权投资公允价值变动|||
（3）可供出售金融资产公允价值变动损益|||-341,801,484.12
（4）金融资产重分类计入其他综合收益的金额|||
（5）持有至到期投资重分类为可供出售金融资产损益|||
（6）其他债权投资信用减值准备|||
（7）现金流量套期储备（现金流量套期损益的有效部分）|||
（8）外币财务报表折算差额||64,755,054.09|79,676,005.99
（9）其他|||
（二）归属于少数股东的其他综合收益的税后净额||1,223,984.67|2,386,900.56
七、综合收益总额||21,975,446,298.00|22,134,902,233.37
（一）归属于母公司所有者的综合收益总额||21,950,268,848.71|22,099,900,481.96
（二）归属于少数股东的综合收益总额||25,177,449.29|35,001,751.41
八、每股收益：|||
（一）基本每股收益(元/股)||0.9792|1.0278
（二）稀释每股收益(元/股)||0.9792|1.0278
