page|133
项目|附注|本年金额|上年金额
一、经营活动产生的现金流量|||
销售商品、提供劳务收到的现金||12,701,740,372.72|12,294,529,982.73
收到的税费返还||42,485,481.75|23,569,265.92
收到其他与经营活动有关的现金|五、65（1）|815,916,787.26|1,165,710,845.18
经营活动现金流入小计||13,560,142,641.73|13,483,810,093.83
购买商品、接受劳务支付的现金||3,470,983,798.59|3,593,786,248.69
支付给职工以及为职工支付的现金||2,778,912,137.24|2,621,068,087.09
支付的各项税费||1,062,476,005.92|957,382,790.97
支付其他与经营活动有关的现金|五、65（2）|751,969,782.97|809,699,551.14
经营活动现金流出小计||8,064,341,724.72|7,981,936,677.89
经营活动产生的现金流量净额|五、66（1）|5,495,800,917.01|5,501,873,415.94
二、投资活动产生的现金流量|||
收回投资收到的现金||9,137,020,345.82|-
取得投资收益收到的现金||1,551,111,503.37|1,804,725,809.65
处置固定资产、无形资产和其他长期资产收回的现金净额||389,937,931.20|6,274,482,747.66
处置子公司及其他营业单位收回的现金净额||-|1,000,000.00
收到其他与投资活动有关的现金|五、65（3）|1,453,513,215.71|3,535,967,030.93
投资活动现金流入小计||12,531,582,996.10|11,616,175,588.24
购建固定资产、无形资产和其他长期资产支付的现金||2,728,598,026.38|3,515,540,735.97
投资支付的现金||13,686,331,715.60|7,898,674,384.09
取得子公司及其他营业单位支付的现金净额|五、65（4）|-|-
支付其他与投资活动有关的现金|五、65（5）|3,009,770,350.62|2,138,951,129.78
投资活动现金流出小计||19,424,700,092.60|13,553,166,249.84
投资活动产生的现金流量净额||-6,893,117,096.50|-1,936,990,661.60
三、筹资活动产生的现金流量|||
吸收投资收到的现金||5,347,041,408.13|2,213,530,171.90
其中：子公司吸收少数股东投资收到的现金||5,347,041,408.13|27,255,000.00
取得借款收到的现金||24,095,846,198.30|14,306,287,000.87
发行债券收到的现金||6,197,833,243.33|-
收到其他与筹资活动有关的现金|五、65（6）|1,937,954,936.36|1,713,327,483.01
筹资活动现金流入小计||37,578,675,786.12|18,233,144,655.78
偿还债务支付的现金||26,923,924,070.90|15,402,220,794.12
分配股利、利润或偿付利息支付的现金||4,417,717,782.78|4,022,043,402.10
其中：子公司支付给少数股东的股利、利润||1,586,039,122.85|1,745,724,195.29
支付其他与筹资活动有关的现金|五、65（7）|842,561,469.96|42,583,797.55
筹资活动现金流出小计||32,184,203,323.64|19,466,847,993.77
筹资活动产生的现金流量净额||5,394,472,462.48|-1,233,703,337.99
四、汇率变动对现金及现金等价物的影响||60,305,024.35|9,697,074.77
五、现金及现金等价物净增加额||4,057,461,307.34|2,340,876,491.12
加：年初现金及现金等价物余额|五、66（2）|7,714,157,995.87|5,373,281,504.75
六、年末现金及现金等价物余额|五、66（2）|11,771,619,303.21|7,714,157,995.87
