page|131
项目|附注|本年金额|上年金额
一、营业收入|五、50|12,618,529,996.02|12,123,829,423.74
减：营业成本|五、50|7,873,749,854.85|7,648,920,919.71
税金及附加|五、51|151,196,943.57|172,556,579.92
管理费用|五、52|1,584,882,935.02|1,509,520,581.66
研发费用||156,024,113.54|123,853,344.29
财务费用|五、53|1,232,729,624.82|1,936,269,737.53
其中：利息费用||1,949,882,376.69|2,089,837,594.54
利息收入||325,387,744.56|252,060,018.58
加：其他收益|五、54|204,965,113.28|162,101,113.10
投资收益|五、55|4,905,975,438.22|4,619,173,755.42
其中：对联营企业和合营企业的投资收益|五、55|3,988,916,963.08|3,727,850,763.22
公允价值变动收益（损失以“-”号填列）|五、56|-411,508,773.58|66,483,266.48
信用减值利得（损失以“-”号填列）|五、57|-458,595,661.31|-50,249,409.77
资产减值利得（损失以“-”号填列）|五、58|-551,370,042.53|25,051.16
资产处置收益（损失以“-”号填列）|五、59|1,489,206,502.32|4,794,562,782.79
二、营业利润||6,798,619,100.62|10,324,804,819.81
加：营业外收入|五、60|81,639,060.54|553,103,360.41
减：营业外支出|五、61|79,003,740.77|70,452,012.40
三、利润总额||6,801,254,420.39|10,807,456,167.82
减：所得税费用|五、62|1,275,686,369.83|2,640,538,894.62
四、净利润||5,525,568,050.56|8,166,917,273.20
（一）按经营持续性分类|||
1.持续经营净利润||5,525,568,050.56|8,166,917,273.20
2.终止经营净利润||-|-
（二）按所有权归属分类|||
1.归属于母公司股东的净利润||2,065,322,969.66|2,898,192,168.84
2.少数股东损益||3,460,245,080.90|5,268,725,104.36
五、其他综合收益的税后净额|五、64|-1,849,656,940.86|-1,096,285,894.51
归属于母公司股东的其他综合收益的税后净额||-470,752,737.15|-443,076,984.15
（一）不能重分类进损益的其他综合收益||-1,552,867.01|9,090,184.52
1.重新计量设定受益计划变动额||10,248,546.35|1,069,722.83
2.权益法下不能转损益的其他综合收益||-11,817,008.06|4,830,921.62
3.其他权益工具投资公允价值变动||15,594.70|3,189,540.07
（二）将重分类进损益的其他综合收益||-469,199,870.14|-452,167,168.67
1.权益法下可转损益的其他综合收益||90,675,445.06|-59,050,164.54
2.外币财务报表折算差额||-559,875,315.20|-393,117,004.13
归属于少数股东的其他综合收益的税后净额||-1,378,904,203.71|-653,208,910.36
六、综合收益总额||3,675,911,109.70|7,070,631,378.69
归属于母公司股东的综合收益总额||1,594,570,232.51|2,455,115,184.69
归属于少数股东的综合收益总额||2,081,340,877.19|4,615,516,194.00
七、每股收益|||
（一）基本每股收益||1.07|1.59
（二）稀释每股收益||1.07|1.59
