page|95
项目 附注 2019 年 12 月 31 日 2018 年 12 月 31 日|||
流动资产：|||
货币资金|七、1|1,317,453,527.68|2,757,100,266.89
交易性金融资产|七、2|220,462,418.16|不适用
以公允价值计量且其变动计入当期损益的金融资产||不适用|
衍生金融资产|||
应收票据|七、4|19,699,798.81|9,801,332.68
应收账款|七、5|1,649,077,038.10|1,356,284,333.18
应收款项融资|||不适用
预付款项|七、7|376,270,477.13|352,898,829.89
应收保理款|七、83|437,369,715.49|2,001,635.55
其他应收款|七、8|244,104,052.82|242,411,014.35
其中：应收利息||628,653.10|114,489.81
应收股利|||
存货|七、9|21,350,268.45|19,259,619.16
持有待售资产|||
一年内到期的非流动资产|||
其他流动资产|七、12|776,243,149.38|578,135,560.09
流动资产合计||5,062,030,446.02|5,317,892,591.79
非流动资产：|||
债权投资|||不适用
可供出售金融资产||不适用|512,973,422.31
其他债权投资|||不适用
持有至到期投资||不适用|
长期应收款|||
长期股权投资|七、16|148,549,015.54|57,690,627.05
其他权益工具投资|七、17|350,495,786.91|不适用
其他非流动金融资产|七、18|108,996,507.12|不适用
投资性房地产|||
固定资产|七、20|2,643,241,926.51|1,848,830,268.85
在建工程|七、21|3,241,417.48|233,018.90
生产性生物资产|||
油气资产|||
无形资产|七、25|34,283,265.49|32,802,894.99
开发支出|||
商誉|||
长期待摊费用|七、28|388,624,354.80|344,089,720.88
递延所得税资产|七、29|304,324,449.15|107,213,099.25
page|96
其他非流动资产|七、30|34,194,613.52|34,855,954.16
非流动资产合计||4,015,951,336.52|2,938,689,006.39
资产总计||9,077,981,782.54|8,256,581,598.18
流动负债：|||
短期借款|七、31|1,161,851,548.42|1,000,671,190.00
交易性金融负债|||不适用
以公允价值计量且其变动计入当期损益的金融负债||不适用|
衍生金融负债|||
应付票据|七、34|130,755,214.10|29,465,118.00
应付账款|七、35|1,934,402,613.60|1,201,896,946.13
预收款项|七、36|82,927,914.08|60,047,450.89
应付职工薪酬|七、37|890,858,521.43|1,110,961,177.09
应交税费|七、38|135,323,143.07|163,526,017.62
其他应付款|七、39|329,411,031.23|432,372,789.07
其中：应付利息|||5,866,748.58
应付股利|||
持有待售负债|||
一年内到期的非流动负债|||337,162.47
其他流动负债|||
流动负债合计||4,665,529,985.93|3,999,277,851.27
非流动负债：|||
长期借款|||
应付债券|||
其中：优先股|||
永续债|||
长期应付款|||
长期应付职工薪酬|七、47|19,941,028.55|60,949,634.78
预计负债|七、48|12,356,682.20|10,815,276.69
递延收益|七、49|15,174,988.68|1,223,105.44
递延所得税负债|七、29|309,306,926.91|121,570,242.90
其他非流动负债|||
非流动负债合计||356,779,626.34|194,558,259.81
负债合计||5,022,309,612.27|4,193,836,111.08
所有者权益（或股东权益）：|||
实收资本（或股本）|七、51|960,000,000.00|960,000,000.00
其他权益工具|||
其中：优先股|||
永续债|||
资本公积|七、53|317,116,815.48|353,624,556.59
减：库存股|七、54|69,430,125.93|
其他综合收益|七、55|-37,567,500.00|
专项储备|七、56||
盈余公积|七、57|339,745,956.96|267,681,429.01
一般风险准备||4,025,472.49|
未分配利润|七、58|2,541,781,551.27|2,481,439,501.50
归属于母公司所有者权益（或股东权益）合计||4,055,672,170.27|4,062,745,487.10
page|97
所有者权益（或股东权益）合计||4,055,672,170.27|4,062,745,487.10
负债和所有者权益（或股东权益）总计||9,077,981,782.54|8,256,581,598.18
