page|78
项目|附 注|2020年度|2019年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||11,360,456,346.62|15,521,861,547.00
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||455,633,146.93|645,014,780.09
收到其他与经营活动有关的现金||756,286,199.37|714,373,735.33
经营活动现金流入小计||12,572,375,692.92|16,881,250,062.42
page|79
购买商品、接受劳务支付的现金||9,533,469,989.58|13,103,430,329.71
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||1,961,783,180.75|2,421,633,751.98
支付的各项税费||348,839,546.94|394,893,853.85
支付其他与经营活动有关的现金||558,445,472.15|754,248,239.61
经营活动现金流出小计||12,402,538,189.42|16,674,206,175.15
经营活动产生的现金流量净额||169,837,503.50|207,043,887.27
二、投资活动产生的现金流量：|||
收回投资收到的现金||889,856,769.44|933,142,512.11
取得投资收益收到的现金||67,960,140.08|97,610,293.77
处置固定资产、无形资产和其他长期资产收回的现金净额||17,361,027.97|6,986,109.60
处置子公司及其他营业单位收到的现金净额||330,084,169.50|712,931,029.69
收到其他与投资活动有关的现金||2,172,930.00|
投资活动现金流入小计||1,307,435,036.99|1,750,669,945.17
购建固定资产、无形资产和其他长期资产支付的现金||441,887,569.55|695,068,593.07
投资支付的现金||824,480,120.00|943,970,975.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金||3,641,148.79|2,172,930.00
投资活动现金流出小计||1,270,008,838.34|1,641,212,498.07
投资活动产生的现金流量净额||37,426,198.65|109,457,447.10
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金||3,089,801,919.68|4,933,544,483.45
收到其他与筹资活动有关的现金||23,786,074.57|14,106,775.72
筹资活动现金流入小计||3,113,587,994.25|4,947,651,259.17
偿还债务支付的现金||2,862,753,698.86|5,167,430,830.78
分配股利、利润或偿付利息支付的现金||133,228,019.78|185,564,035.54
其中：子公司支付给少数股东的股利、利润||2,137,082.01|5,834,996.07
支付其他与筹资活动有关的现金||47,166,464.99|50,477,769.40
筹资活动现金流出小计||3,043,148,183.63|5,403,472,635.72
筹资活动产生的现金流量净额||70,439,810.62|-455,821,376.55
四、汇率变动对现金及现金等价物的影响||-35,253,301.52|13,672,967.38
五、现金及现金等价物净增加额||242,450,211.25|-125,647,074.80
加：期初现金及现金等价物余额||1,177,588,708.39|1,303,235,783.19
六、期末现金及现金等价物余额||1,420,038,919.64|1,177,588,708.39
