page|96
资产|附注编号|2021 年 12 月 31 日|2020 年 12 月 31 日（已重述）
流动资产|||
货币资金|六（一）|6,090,530|6,954,029
应收票据|六（二）|3,940|27,393
应收账款|六（三）|9,049,423|10,452,066
应收款项融资|六（四）|755,040|1,681,708
预付款项|六（五）|2,066,807|884,922
其他应收款|六（六）|2,141,817|1,334,392
存货|六（七）|6,116,153|2,600,791
一年内到期的非流动资产|六（八）|73,514|157,890
持有待售资产||-|-
其他流动资产|六（九）|3,281,546|1,802,120
流动资产合计||29,578,770|25,895,311
非流动资产|||
债权投资|六（十）|254,430|170,066
长期股权投资|六（十一）|37,250,043|12,050,774
其他非流动金融资产|六（十二）|330,195|323,237
投资性房地产|六（十三）|61,828|32,283
固定资产|六（十四）|123,025,848|161,595,640
在建工程|六（十五）|15,862,389|23,543,261
使用权资产|六（十六）|1,001,786|2,290,514
无形资产|六（十七）|7,216,742|12,215,066
商誉|六（十八）|441,212|864,415
递延所得税资产|六（十九）|2,328,526|789,345
其他非流动资产|六（二十）|1,508,660|2,980,497
非流动资产合计||189,281,659|216,855,098
资   产   总   计||218,860,429|242,750,409
负债和所有者权益|||
流动负债|||
短期借款|六（二十一）|27,644,545|22,277,641
应付票据|六（二十二）|2,411,667|684,777
应付账款|六（二十三）|12,391,502|17,313,999
应付职工薪酬|六（二十五）|222,627|255,743
应交税费|六（二十六）|1,584,729|1,852,771
其他应付款|六（二十七）|2,837,412|5,489,177
合同负债|六（二十四）|1,875,588|1,947,149
持有待售负债||-|-
一年内到期的非流动负债|六（二十八）|14,536,274|11,838,702
其他流动负债|六（二十九）|2,158,534|91,869
流动负债合计||65,662,878|61,751,828
非流动负债|||
长期借款|六（三十）|56,682,110|66,307,090
应付债券|六（三十一）|17,511,639|10,495,397
租赁负债|六（三十二）|327,557|1,175,083
长期应付款|六（三十三）|116,939|409,717
长期应付职工薪酬||15,078|15,538
预计负债|六（三十四）|64,242|236,717
递延收益|六（三十五）|3,855,106|4,194,027
递延所得税负债|六（十九）|1,058,765|1,590,863
非流动负债合计||79,631,436|84,424,432
负  债  合  计||145,294,314|146,176,260
股东权益|||
股本|六（三十六）|9,869,858|9,862,977
其他权益工具|六（三十七）|22,514,599|24,645,175
其中:优先股|||
永续债|六（三十七）|22,473,349|24,645,175
资本公积|六（三十八）|13,105,539|15,077,640
其他综合收益|六（三十九）|66,622|-12,978
专项储备|六（四十）|206,407|289,688
盈余公积|六（四十一）|4,322,946|3,819,537
未分配利润|六（四十二）|11,743,673|20,701,830
归属于母公司股东权益合计||61,829,644|74,383,869
少数股东权益||11,736,471|22,190,280
股东权益合计||73,566,115|96,574,149
负债及股东权益合计||218,860,429|242,750,409
