page|100
项目|附注编号|本期发生额|上期发生额（已重述）
一、经营活动产生的现金流量|||
销售商品、提供劳务收到的现金||114,915,237|105,266,710
收到的税费返还||213,405|131,350
收到其他与经营活动有关的现金|六（五十五）|4,537,840|3,837,424
经营活动现金流入小计||119,666,482|109,235,484
购买商品、接受劳务支付的现金||108,315,667|66,903,656
支付给职工以及为职工支付的现金||7,142,443|6,579,489
支付的各项税费||4,637,617|5,889,054
支付其他与经营活动有关的现金|六（五十五）|5,921,261|3,397,424
经营活动现金流出小计||126,016,988|82,769,623
经营活动产生的现金流量净额|六（五十六）|-6,350,506|26,465,861
二、投资活动产生的现金流量|||
收回投资收到的现金||5,791,778|308,625
取得投资收益收到的现金||1,915,993|476,251
处置固定资产、无形资产和其他长期资产收回的现金净额||130,655|268,424
处置子公司及其他营业单位收回的现金净额||6,684,464|7,509
收到其他与投资活动有关的现金|六（五十五）|778,548|207,262
投资活动现金流入小计||15,301,438|1,268,071
购建固定资产、无形资产和其他长期资产支付的现金||13,301,265|19,161,131
投资支付的现金||8,039,654|441,608
支付其他与投资活动有关的现金|六（五十五）|355,851|225,950
投资活动现金流出小计||21,696,770|19,828,689
投资活动产生的现金流量净额||-6,395,332|-18,560,618
三、筹资活动产生的现金流量|||
吸收投资收到的现金||4,918,177|11,757,469
其中：子公司吸收少数股东投资收到的现金||418,177|3,257,469
取得借款收到的现金||106,130,684|68,955,428
收到其他与筹资活动有关的现金|六（五十五）|250,000|218,690
筹资活动现金流入小计||111,298,861|80,931,587
偿还债务支付的现金||81,430,804|80,202,152
分配股利、利润或偿付利息支付的现金||8,934,217|8,171,351
其中：子公司支付给少数股东的股利、利润||1,162,658|853,170
支付其他与筹资活动有关的现金|六（五十五）|9,011,712|266,067
筹资活动现金流出小计||99,376,733|88,639,570
筹资活动产生的现金流量净额||11,922,128|-7,707,983
四、汇率变动对现金及现金等价物的影响||-53|
五、现金及现金等价物净增加额|六（五十六）|-823,763|197,260
加：期初现金及现金等价物余额|六（五十六）|6,768,830|6,571,570
六、期末现金及现金等价物余额|六（五十六）|5,945,067|6,768,830
