page|98
项目|附注编号|本期发生额|上期发生额（已重述）
一、营业总收入||104,422,213|93,009,907
其中：营业收入|六（四十三）|104,422,213|93,009,907
二、营业总成本||117,968,998|85,089,214
其中：营业成本|六（四十三）|110,856,816|77,493,958
税金及附加|六（四十四）|1,023,935|1,160,454
管理费用|六（四十五）|1,806,701|1,844,150
研发费用||2,761|-
财务费用|六（四十六）|4,278,785|4,590,652
加：其他收益||938,305|505,196
投资收益（损失以“-”号填列）|六（四十七）|7,242,095|570,089
其中：对联营企业和合营企业的投资收益|六（四十七）|2,470,781|525,136
公允价值变动收益（损失以“-”号填列）|六（四十八）|-37,228|-1,251
信用减值损失（损失以“-”号填列）|六（四十九）|-471,077|-50,356
资产减值损失（损失以“-”号填列）|六（五十）|-2,934,446|-1,597,266
资产处置收益（损失以“-”号填列）|六（五十一）|259,742|8,865
三、营业利润（亏损以“-”号填列）||-8,549,394|7,355,970
加：营业外收入|六（五十二）|470,987|571,553
减：营业外支出|六（五十三）|347,826|283,200
四、利润总额（亏损总额以“-”号填列）||-8,426,233|7,644,323
减：所得税费用|六（五十四）|-1,671,991|1,420,334
五、净利润（净亏损以“-”号填列）||-6,754,242|6,223,989
（一）按经营持续性分类|||
1．持续经营净利润（净亏损以“-”号填列）||-6,754,242|6,223,989
2．终止经营净利润（净亏损以“-”号填列）|||
（二）按所有权归属分类|||
1．归属于母公司股东的净利润（净亏损以“-”号填列）||-4,965,346|4,441,268
2．少数股东损益（净亏损以“-”号填列）||-1,788,896|1,782,721
六、其他综合收益的税后净额||79,803|5,800
归属于母公司股东的其他综合收益的税后净额||79,600|5,800
（一）不能重分类进损益的其他综合收益||41,209|-
1 权益法下不能转损益的其他综合收益||41,209|-
（二）将重分类进损益的其他综合收益||38,391|5,800
1．权益法下可转损益的其他综合收益||38,391|5,800
归属于少数股东的其他综合收益的税后净额||203|-
七、综合收益总额||-6,674,439|6,229,789
归属于母公司股东的综合收益总额||-4,885,746|4,447,068
归属于少数股东的综合收益总额||-1,788,693|1,782,721
八、每股收益：|||
（一）基本每股收益（元/股）||-0.61|0.36
（二）稀释每股收益（元/股）||-0.61|0.36
