page|96
项目|附注七|2019 年度|2018 年度
一、营业总收入||4,189,669,077.97|3,041,260,062.01
其中：营业收入|（五十九）|4,189,669,077.97|3,041,260,062.01
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||3,917,902,608.10|2,791,641,416.98
其中：营业成本|（五十九）|3,603,077,853.44|2,535,814,076.04
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|（六十）|9,285,468.38|11,416,043.64
销售费用|（六十一）|25,348,877.19|24,407,075.03
管理费用|（六十二）|97,092,179.02|79,997,993.12
研发费用|（六十三）|164,962,705.56|119,897,789.04
财务费用|（六十六）|18,135,524.51|20,108,440.11
其中：利息费用||15,618,996.71|17,405,493.04
利息收入||6,632,476.01|7,318,837.07
加：其他收益|（六十七）|33,628,615.08|11,468,696.31
投资收益（损失以“－”号填列）|（六十八）|-6,210,896.80|14,019,249.41
其中：对联营企业和合营企业的投资收益||1,074,836.66|5,597,338.59
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|||
信用减值损失（损失以“-”号填列）|（七十一）|-155,048,355.32|
资产减值损失（损失以“-”号填列）|（七十二）|-43,875,729.28|-39,018,465.16
资产处置收益（损失以“－”号填列）|（七十三）|-1,565,307.48|-1,562,656.71
三、营业利润（亏损以“－”号填列）||98,694,796.07|234,525,468.88
加：营业外收入|（七十四）|482,182.20|1,566,354.87
减：营业外支出|（七十五）|2,516,020.60|1,338,753.40
四、利润总额（亏损总额以“－”号填列）||96,660,957.67|234,753,070.35
减：所得税费用|（七十六）|10,235,519.33|23,782,622.56
五、净利润（净亏损以“－”号填列）||86,425,438.34|210,970,447.79
（一）按经营持续性分类|||
page|97
1.持续经营净利润（净亏损以“－”号填列）||86,425,438.34|210,970,447.79
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||87,416,624.45|212,889,708.78
2.少数股东损益（净亏损以“-”号填列）||-991,186.11|-1,919,260.99
六、其他综合收益的税后净额||-832,405.59|1,143,263.17
（一）归属母公司所有者的其他综合收益的税后净额||-733,577.89|1,119,509.63
1．不能重分类进损益的其他综合收益||160,007.43|-132,243.71
（1）重新计量设定受益计划变动额||160,007.43|-132,243.71
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|||
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益||-893,585.32|1,251,753.34
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）可供出售金融资产公允价值变动损益|||
（4）金融资产重分类计入其他综合收益的金额|||
（5）持有至到期投资重分类为可供出售金融资产损益|||
（6）其他债权投资信用减值准备|||
（7）现金流量套期储备（现金流量套期损益的有效部分）|||
（8）外币财务报表折算差额||-893,585.32|1,251,753.34
（9）其他|||
（二）归属于少数股东的其他综合收益的税后净额||-98,827.70|23,753.54
七、综合收益总额||85,593,032.75|212,113,710.96
（一）归属于母公司所有者的综合收益总额||86,683,046.56|214,009,218.41
（二）归属于少数股东的综合收益总额||-1,090,013.81|-1,895,507.45
八、每股收益：|||
（一）基本每股收益(元/股)||0.21|0.56
（二）稀释每股收益(元/股)||0.21|0.56
