page|99
项目|附注七|2019年度|2018年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||2,333,655,483.22|1,307,781,207.27
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
page|100
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||68,213,350.30|3,952,504.50
收到其他与经营活动有关的现金|（七十六）|634,856,542.84|505,246,238.67
经营活动现金流入小计||3,036,725,376.36|1,816,979,950.44
购买商品、接受劳务支付的现金||1,888,378,481.05|1,608,926,499.87
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||265,370,255.67|171,835,754.12
支付的各项税费||65,976,121.98|97,100,889.93
支付其他与经营活动有关的现金|（七十六）|699,537,460.05|481,938,181.06
经营活动现金流出小计||2,919,262,318.75|2,359,801,324.98
经 营 活动 产生 的 现金 流量净额||117,463,057.61|-542,821,374.54
二、投资活动产生的现金流量：|||
收回投资收到的现金|||
取得投资收益收到的现金||6,478,471.58|8,421,910.82
处置固定资产、无形资产和其他长期资产收回的现金净额||448,197.89|39,154.54
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|（七十六）|1,637,321,333.33|3,379,337,631.00
投资活动现金流入小计||1,644,248,002.80|3,387,798,696.36
购建固定资产、无形资产和其他长期资产支付的现金||263,348,726.39|823,930,759.05
投资支付的现金|||
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|（七十六）|1,916,295,000.00|3,433,460,631.00
投资活动现金流出小计||2,179,643,726.39|4,257,391,390.05
投 资 活动 产生 的 现金 流量净额||-535,395,723.59|-869,592,693.69
三、筹资活动产生的现金流量：|||
page|101
吸收投资收到的现金||1,197,900,000.00|1,390,000,000.00
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金||236,466,457.34|253,563,505.65
收到其他与筹资活动有关的现金|（七十六）||8,681,736.75
筹资活动现金流入小计||1,434,366,457.34|1,652,245,242.40
偿还债务支付的现金||110,248,586.83|187,181,012.77
分配股利、利润或偿付利息支付的现金||8,405,733.33|14,168,633.62
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金|（七十六）|102,694,405.70|22,628,347.80
筹资活动现金流出小计||221,348,725.86|223,977,994.19
筹 资 活动 产生 的 现金 流量净额||1,213,017,731.48|1,428,267,248.21
四、汇率变动对现金及现金等价物的影响||-3,977,343.21|-1,153,944.23
五、现金及现金等价物净增加额||791,107,722.29|14,699,235.75
加：期初现金及现金等价物余额||86,455,943.63|71,756,707.88
六、期末现金及现金等价物余额||877,563,665.92|86,455,943.63
