page|49
项目|附注七|2020 年 12 月 31 日|2019 年 12 月 31 日
流动资产：|||
货币资金|注释 1|414,126,402.15|370,403,734.43
交易性金融资产|||
衍生金融资产|||
应收票据|||
应收账款|注释 5|443,364,768.77|337,530,321.07
应收款项融资|注释 6|247,984,669.94|190,849,264.24
预付款项|注释 7|374,338,019.73|349,391,876.20
其他应收款|注释 8|14,724,130.86|14,334,877.83
其中：应收利息|||
应收股利|||4,559,825.12
page|50
存货|注释 9|425,997,435.60|616,560,323.30
合同资产|||
持有待售资产|||
一年内到期的非流动资产|||
其他流动资产|||
流动资产合计||1,920,535,427.05|1,879,070,397.07
非流动资产：|||
债权投资|||
其他债权投资|||
长期应收款|||
长期股权投资|注释 17|83,548,047.22|69,674,503.62
其他权益工具投资|注释 18|7,750,000.00|7,750,000.00
其他非流动金融资产|||
投资性房地产|||
固定资产|注释 21|251,617,900.29|264,542,985.95
在建工程|注释 22|4,746,695.70|5,612,082.92
生产性生物资产|||
油气资产|||
使用权资产|||
无形资产|注释 26|85,395,949.78|87,023,953.68
开发支出|||
商誉|||
长期待摊费用|||
递延所得税资产|注释 30|105,545,578.80|112,801,780.46
其他非流动资产|注释 31|19,270,940.55|6,574,808.55
非流动资产合计||557,875,112.34|553,980,115.18
资产总计||2,478,410,539.39|2,433,050,512.25
流动负债：|||
短期借款|注释 32||92,700,380.40
交易性金融负债|||
衍生金融负债|||
应付票据|注释 35|226,911,733.82|241,288,084.90
应付账款|注释 36|141,340,820.12|217,445,397.21
page|51
预收款项|||324,211,478.47
合同负债|注释 38|342,040,510.51|
应付职工薪酬|注释 39|18,820,193.44|14,402,357.34
应交税费|注释 40|18,539,462.86|2,352,308.64
其他应付款|注释 41|53,117,760.64|44,305,461.75
其中：应付利息||281,111.11|232,806.94
应付股利|||
持有待售负债|||
一年内到期的非流动负债|注释 43|200,000,000.00|
其他流动负债|注释 44|12,199,913.29|
流动负债合计||1,012,970,394.68|936,705,468.71
非流动负债：|||
长期借款|注释 45|100,000,000.00|200,000,000.00
应付债券|||
其中：优先股|||
永续债|||
租赁负债|||
长期应付款|注释 48|44,422,945.81|44,422,945.81
长期应付职工薪酬|||
预计负债|注释 50|36,034,732.52|36,312,955.45
递延收益|注释 51|56,431,000.00|35,454,775.48
递延所得税负债|||
其他非流动负债|||
非流动负债合计||236,888,678.33|316,190,676.74
负债合计||1,249,859,073.01|1,252,896,145.45
所有者权益（或股东权益）：|||
实收资本（或股本）|注释 53|170,000,000.00|170,000,000.00
其他权益工具|||
其中：优先股|||
永续债|||
资本公积|注释 55|403,931,070.93|403,931,070.93
减：库存股|||
其他综合收益|注释 57|3,404,927.97|
专项储备|注释 58|15,094,628.57|15,051,255.06
盈余公积|注释 59|440,224,344.34|420,619,704.91
未分配利润|注释 60|195,896,494.57|170,552,335.90
所有者权益（或股东权|||1,180,154,366.80
page|52
益）合计||1,228,551,466.38|
负债和所有者权益（或股东权益）总计||2,478,410,539.39|2,433,050,512.25
page|53
三、利润总额（亏损总额以“－”号填列）||72,004,130.12|70,337,042.47
减：所得税费用|注释 76|6,655,332.02|7,674,853.14
四、净利润（净亏损以“－”号填列）||65,348,798.10|62,662,189.33
（一）持续经营净利润（净亏损以“－”号填列）||65,348,798.10|62,662,189.33
（二）终止经营净利润（净亏损以“－”号填列）|||
五、其他综合收益的税后净额|注释 77|3,404,927.97|
（一）不能重分类进损益的其他综合收益|||
1.重新计量设定受益计划变动额|||
2.权益法下不能转损益的其他综合收益|||
3.其他权益工具投资公允价值变动|||
4.企业自身信用风险公允价值变动|||
（二）将重分类进损益的其他综合收益||3,404,927.97|
1.权益法下可转损益的其他综合收益|||
2.其他债权投资公允价值变动|||
3.金融资产重分类计入其他综合收益的金额|||
4 以公允价值计量且且其变动计入其他综合收益的金融资产信用减值准备||3,404,927.97|
5.其他债权投资信用减值准备|||
6.现金流量套期储备|||
7.外币财务报表折算差额|||
8.其他|||
六、综合收益总额||68,753,726.07|62,662,189.33
七、每股收益：|||
（一）基本每股收益(元/股)||0.38|0.37
（二）稀释每股收益(元/股)||0.38|0.37
page|54
项目|附注|2020年度|2019年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||1,314,479,311.34|1,760,828,376.34
收到的税费返还||3,023,928.62|49,259,489.02
收到其他与经营活动有关的现金|注释 78|70,751,227.83|21,445,530.19
经营活动现金流入小计||1,388,254,467.79|1,831,533,395.55
购买商品、接受劳务支付的现金||1,014,192,796.49|1,488,859,890.83
支付给职工及为职工支付的现金||130,656,324.26|138,129,108.16
支付的各项税费||73,487,803.30|62,333,612.47
支付其他与经营活动有关的现金|注释 78|77,604,223.42|58,578,871.02
经营活动现金流出小计||1,295,941,147.47|1,747,901,482.48
经营活动产生的现金流量净额||92,313,320.32|83,631,913.07
二、投资活动产生的现金流量：|||
收回投资收到的现金|||226,701.38
取得投资收益收到的现金||10,218,403.28|9,000,000.00
处置固定资产、无形资产和其他长期资产收回的现金净额||267,260.28|485,496.78
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|||
投资活动现金流入小计||10,485,663.56|9,712,198.16
购建固定资产、无形资产和其他长期资产支付的现金||14,539,004.68|13,895,927.43
投资支付的现金|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|||
投资活动现金流出小计||14,539,004.68|13,895,927.43
投资活动产生的现金流量净额||-4,053,341.12|-4,183,729.27
三、筹资活动产生的现金流量：|||
