page|86
项目|附 注|2019年度|2018年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||573,629,211.87|849,406,179.81
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
page|87
收到的税费返还||16,733,397.16|1,181,415.06
收到其他与经营活动有关的现金||47,578,590.89|41,690,309.63
经营活动现金流入小计||637,941,199.92|892,277,904.50
购买商品、接受劳务支付的现金||449,629,159.21|400,889,800.14
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||108,331,640.48|105,183,440.33
支付的各项税费||1,320,673.85|79,956,807.76
支付其他与经营活动有关的现金||53,037,075.60|114,782,982.38
经营活动现金流出小计||612,318,549.14|700,813,030.61
经营活动产生的现金流量净额||25,622,650.78|191,464,873.89
二、投资活动产生的现金流量：|||
收回投资收到的现金||150,500,000.00|70,000,000.00
取得投资收益收到的现金||488,568.49|299,715.69
处置固定资产、无形资产和其他长期资产收回的现金净额||56,536,361.95|56,144,500.00
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|||
投资活动现金流入小计||207,524,930.44|126,444,215.69
购建固定资产、无形资产和其他长期资产支付的现金||283,545,697.61|406,570,235.05
投资支付的现金||320,000,000.00|500,000.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|||
投资活动现金流出小计||603,545,697.61|407,070,235.05
投资活动产生的现金流量净额||-396,020,767.17|-280,626,019.36
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||316,415,070.93|
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金||578,481,322.00|466,898,631.76
收到其他与筹资活动有关的现金||571,655.66|12,895.93
筹资活动现金流入小计||895,468,048.59|466,911,527.69
偿还债务支付的现金||412,549,366.00|327,098,631.76
分配股利、利润或偿付利息支付的现金||40,510,866.13|42,727,649.43
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金||2,259,886.74|6,557,809.37
筹资活动现金流出小计||455,320,118.87|376,384,090.56
筹资活动产生的现金流量净额||440,147,929.72|90,527,437.13
四、汇率变动对现金及现金等价物的影响||-1,487,810.30|3,265,027.59
五、现金及现金等价物净增加额||68,262,003.03|4,631,319.25
加：期初现金及现金等价物余额||94,079,780.74|89,448,461.49
六、期末现金及现金等价物余额||162,341,783.77|94,079,780.74
