page|82
项目|附注五|2021 年度|2020 年度
一、营业总收入||977,641,254.43|713,990,084.02
其中：营业收入|32|977,641,254.43|713,990,084.02
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||716,895,560.26|504,441,118.12
其中：营业成本|32|525,611,923.22|362,704,768.73
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|33|9,780,086.61|8,074,646.42
销售费用|34|120,280,804.25|91,492,954.52
管理费用|35|46,041,563.60|30,879,367.72
研发费用|36|40,756,821.02|26,557,625.11
财务费用|37|-25,575,638.44|-15,268,244.38
其中：利息费用|||
利息收入||-25,766,422.21|-15,368,107.73
加：其他收益|38|13,049,647.09|14,161,863.03
投资收益（损失以“－”号填列）|39|12,939,142.23|4,709,700.24
其中：对联营企业和合营企业的投资收益|||
page|83
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|40|-1,431,384.54|-7,556.23
信用减值损失（损失以“-”号填列）|41|-84,955.15|237,401.11
资产减值损失（损失以“-”号填列）|42|-3,855.86|-55,664.83
资产处置收益（损失以“－”号填列）|||
三、营业利润（亏损以“－”号填列）||285,214,287.94|228,594,709.22
加：营业外收入|43|1,039,375.25|296,079.26
减：营业外支出|44|727,439.22|1,794,599.58
四、利润总额（亏损总额以“－”号填列）||285,526,223.97|227,096,188.90
减：所得税费用|46|38,920,444.32|32,836,401.25
五、净利润（净亏损以“－”号填列）||246,605,779.65|194,259,787.65
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||246,605,779.65|194,259,787.65
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||246,605,779.65|194,259,787.65
2.少数股东损益（净亏损以“-”号填列）|||
六、其他综合收益的税后净额||246,605,779.65|194,259,787.65
（一）归属母公司所有者的其他综合收益的税后净额||246,605,779.65|194,259,787.65
1．不能重分类进损益的其他综合收益|||
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|||
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益|||
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额|||
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||246,605,779.65|194,259,787.65
（一）归属于母公司所有者的综合收益总额||246,605,779.65|194,259,787.65
（二）归属于少数股东的综合收益总额|||
八、每股收益：|||
（一）基本每股收益(元/股)|47|1.75|1.70
page|84
（二）稀释每股收益(元/股)|47|1.75|1.70
