page|85
项目|附注五|2021年度|2020年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||1,103,758,780.15|774,104,862.82
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||6,366,886.05|
收到其他与经营活动有关的现金|48|138,747,337.86|24,559,997.17
经营活动现金流入小计||1,248,873,004.06|798,664,859.99
购买商品、接受劳务支付的现金||561,760,279.66|357,802,041.03
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
page|86
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||111,580,235.97|79,745,269.68
支付的各项税费||102,313,336.27|69,741,043.17
支付其他与经营活动有关的现金|48|295,441,126.81|117,643,776.53
经营活动现金流出小计||1,071,094,978.71|624,932,130.41
经营活动产生的现金流量净额|49|177,778,025.35|173,732,729.58
二、投资活动产生的现金流量：|||
收回投资收到的现金||1,008,230,000.00|394,650,000.00
取得投资收益收到的现金||16,454,935.29|5,500,554.48
处置固定资产、无形资产和其他长期资产收回的现金净额||2,451.46|
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|||
投资活动现金流入小计||1,024,687,386.75|400,150,554.48
购建固定资产、无形资产和其他长期资产支付的现金||84,974,483.03|246,063,107.66
投资支付的现金||1,388,090,000.00|393,640,000.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|||
投资活动现金流出小计||1,473,064,483.03|639,703,107.66
投资活动产生的现金流量净额||-448,377,096.28|-239,552,553.18
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||16,176,125.00|803,707,520.00
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金|||
收到其他与筹资活动有关的现金|||
筹资活动现金流入小计||16,176,125.00|803,707,520.00
偿还债务支付的现金|||
回购股份所支付的现金||264,100.00|
分配股利、利润或偿付利息支付的现金||58,419,837.27|
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金|48|3,746,618.30|14,831,800.00
筹资活动现金流出小计||62,430,555.57|14,831,800.00
筹资活动产生的现金流量净额||-46,254,430.57|788,875,720.00
四、汇率变动对现金及现金等价物的影响||-1,206.46|-3,645.72
五、现金及现金等价物净增加额||-316,854,707.96|723,052,250.68
加：期初现金及现金等价物余额||804,121,641.29|81,069,390.61
六、期末现金及现金等价物余额|49|487,266,933.33|804,121,641.29
