page|43
项目|附注五|2019 年 12 月 31 日|2018 年 12 月 31 日
流动资产：|||
货币资金|1|385,324,101.30|302,299,526.98
结算备付金|||
拆出资金|||
交易性金融资产|||
以公允价值计量且其变动计入当期损益的金融资产|||
衍生金融资产|||
应收票据|4||14,033,561.44
应收账款|5|42,188,571.14|102,863,476.50
应收款项融资|6|8,650,875.30|
预付款项|7|30,897,427.83|81,617,744.94
应收保费|||
应收分保账款|||
应收分保合同准备金|||
其他应收款|8|122,120,163.85|89,298,006.12
其中：应收利息|||
应收股利||6,943,426.41|19,182,835.72
买入返售金融资产|||
存货|9|330,363,411.29|432,878,204.22
持有待售资产|||
一年内到期的非流动资产|||
其他流动资产|12|18,132,326.03|25,927,015.65
流动资产合计||937,676,876.74|1,048,917,535.85
非流动资产：|||
发放贷款和垫款|||
债权投资|||
可供出售金融资产|||17,671,945.29
其他债权投资|||
持有至到期投资|||
长期应收款|||
长期股权投资|16|224,953,876.08|219,343,388.93
其他权益工具投资|17|28,468,009.96|
其他非流动金融资产|||
投资性房地产|19|10,418,784.47|11,000,164.73
固定资产|20|329,426,978.97|341,127,463.85
在建工程|21|2,134,836.23|3,011,981.64
生产性生物资产|||
油气资产|||
使用权资产|||
无形资产|25|31,965,456.03|33,006,595.98
page|44
开发支出|||
商誉|||
长期待摊费用|28|32,643,665.02|34,275,440.49
递延所得税资产|29|2,772,986.17|2,346,252.39
其他非流动资产|||
非流动资产合计||662,784,592.93|661,783,233.30
资产总计||1,600,461,469.67|1,710,700,769.15
流动负债：|||
短期借款|32|97,229,905.18|186,220,315.55
向中央银行借款|||
拆入资金|||
交易性金融负债|||
以公允价值计量且其变动计入当期损益的金融负债|||
衍生金融负债|||
应付票据|35|392,350,000.00|521,847,000.00
应付账款|36|15,929,083.72|15,757,487.44
预收款项|37|92,215,578.01|66,469,859.27
卖出回购金融资产款|||
吸收存款及同业存放|||
代理买卖证券款|||
代理承销证券款|||
应付职工薪酬|38|34,725,762.91|26,343,246.38
应交税费|39|20,178,656.65|9,595,073.80
其他应付款|40|113,822,389.41|122,454,713.43
其中：应付利息|||208,062.92
应付股利||2,809,821.60|33,821.60
应付手续费及佣金|||
应付分保账款|||
持有待售负债|||
一年内到期的非流动负债|42|551,000.00|816,831.57
其他流动负债|||
流动负债合计||767,002,375.88|949,504,527.44
非流动负债：|||
保险合同准备金|||
长期借款|||
应付债券|||
其中：优先股|||
永续债|||
租赁负债|||
长期应付款|||
长期应付职工薪酬|48|19,155,000.00|16,126,000.00
预计负债|49||2,771,206.20
递延收益|50|40,908,276.35|44,172,498.42
递延所得税负债|29|38,822,243.78|36,123,227.61
其他非流动负债|||
非流动负债合计||98,885,520.13|99,192,932.23
负债合计||865,887,896.01|1,048,697,459.67
page|45
所有者权益（或股东权益）：|||
实收资本（或股本）|52|495,972,914.00|495,972,914.00
其他权益工具|||
其中：优先股|||
永续债|||
资本公积|54|1,782,934,309.84|1,782,934,309.84
减：库存股|||
其他综合收益|56|20,956,994.49|14,905,447.82
专项储备|||
盈余公积|58|53,165,313.23|53,165,313.23
一般风险准备|||
未分配利润|59|-1,681,966,247.52|-1,743,491,243.08
归属于母公司所有者权益（或股东权益）合计||671,063,284.04|603,486,741.81
少数股东权益||63,510,289.62|58,516,567.67
所有者权益（或股东权益）合计||734,573,573.66|662,003,309.48
负债和所有者权益（或股东权益）总计||1,600,461,469.67|1,710,700,769.15
