page|50
项目|附注五|2019年度|2018年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||8,458,348,976.52|7,017,700,919.52
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||290,814.05|
收到其他与经营活动有关的现金|78|131,158,225.35|236,277,418.42
经营活动现金流入小计||8,589,798,015.92|7,253,978,337.94
购买商品、接受劳务支付的现金||7,898,608,998.58|6,933,723,808.92
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
page|51
支付保单红利的现金|||
支付给职工及为职工支付的现金||197,864,887.23|192,351,212.02
支付的各项税费||52,845,697.11|60,485,438.56
支付其他与经营活动有关的现金|78|229,470,141.58|225,166,003.66
经营活动现金流出小计||8,378,789,724.50|7,411,726,463.16
经营活动产生的现金流量净额|79|211,008,291.42|-157,748,125.22
二、投资活动产生的现金流量：|||
收回投资收到的现金|||8,490,036.31
取得投资收益收到的现金||38,050,286.88|32,580,885.69
处置固定资产、无形资产和其他长期资产收回的现金净额||6,866,727.02|13,872,214.27
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|||
投资活动现金流入小计||44,917,013.90|54,943,136.27
购建固定资产、无形资产和其他长期资产支付的现金||31,268,435.43|46,571,547.18
投资支付的现金|||
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|78||467,000.00
投资活动现金流出小计||31,268,435.43|47,038,547.18
投资活动产生的现金流量净额||13,648,578.47|7,904,589.09
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金||510,523,823.53|836,883,631.62
收到其他与筹资活动有关的现金|||
筹资活动现金流入小计||510,523,823.53|836,883,631.62
偿还债务支付的现金||599,855,065.47|892,225,393.00
分配股利、利润或偿付利息支付的现金||14,106,591.10|20,468,106.74
其中：子公司支付给少数股东的股利、利润||8,928,985.60|9,321,445.93
支付其他与筹资活动有关的现金|78|5,470,000.00|
筹资活动现金流出小计||619,431,656.57|912,693,499.74
筹资活动产生的现金流量净额||-108,907,833.04|-75,809,868.12
四、汇率变动对现金及现金等价物的影响||-9,243.34|75,493.07
五、现金及现金等价物净增加额||115,739,793.51|-225,577,911.18
加：期初现金及现金等价物余额||189,908,852.16|415,486,763.34
六、期末现金及现金等价物余额|79|305,648,645.67|189,908,852.16
