page|118
项目|附注|2020年度|2019年度  （经重述）
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||148,551,689|154,848,060
收到的税费返还||342,161|137,994
收到其他与经营活动有关的现金|七、62(1)|1,088,413|1,270,263
经营活动现金流入小计||149,982,263|156,256,317
购买商品、接受劳务支付的现金||119,160,955|126,337,797
支付给职工及为职工支付的现金||7,986,721|8,691,162
支付的各项税费||4,316,063|4,809,529
支付其他与经营活动有关的现金|七、62(2)|3,589,620|3,822,783
经营活动现金流出小计||135,053,359|143,661,271
经营活动产生的现金流量净额|七、63(1)|14,928,904|12,595,046
二、投资活动产生的现金流量：|||
收回投资收到的现金||11,207,783|367,867
取得投资收益收到的现金||407,252|336,638
处置固定资产、无形资产和其他长期资产收回的现金净额||1,827,107|1,138,611
处置子公司及其他营业单位收到的现金净额|七、63(3)|42,910|23,797
收到其他与投资活动有关的现金|七、62(3)|527,068|60,672
投资活动现金流入小计||14,012,120|1,927,585
购建固定资产、无形资产和其他长期资产支付的现金||5,038,896|9,094,921
投资支付的现金||7,031,806|6,203,244
支付其他与投资活动有关的现金|七、62(4)|56,156|128,625
投资活动现金流出小计||12,126,858|15,426,790
投资活动产生的现金流量净额||1,885,262|-13,499,205
page|119
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||197,276|711,114
其中：子公司吸收少数股东投资收到的现金||197,276|711,114
取得借款收到的现金||46,021,404|47,591,057
发行债券所收到的现金||25,900,000|37,974,402
发行其他权益工具收到的现金||1,000,000|1,500,000
筹资活动现金流入小计||73,118,680|87,776,573
同一控制下企业合并支付的对价||-|237
偿还债务支付的现金||82,672,133|90,113,293
分配股利、利润或偿付利息支付的现金||4,021,065|4,690,733
其中：子公司支付给少数股东的股利、利润||356,340|222,930
其他权益工具派息支付的现金||421,416|352,648
支付其他与筹资活动有关的现金|七、62(5)|1,777,487|3,093,697
筹资活动现金流出小计||88,892,101|98,250,608
筹资活动产生的现金流量净额||-15,773,421|-10,474,035
四、汇率变动对现金及现金等价物的影响||-88,401|21,205
五、现金及现金等价物净增加额|七、63(1)|952,344|-11,356,989
加：期初现金及现金等价物余额||7,778,853|19,135,842
六、期末现金及现金等价物余额|七、62(4)|8,731,197|7,778,853
