page|115
项目|附注|2020 年度|2019 年度  (经重述)
一、营业总收入||185,994,253|190,215,398
其中：营业收入|七、47|185,994,253|190,215,398
二、营业总成本||182,475,429|188,152,262
其中：营业成本|七、47|170,675,342|176,377,928
税金及附加|七、48|1,600,996|1,431,587
销售费用|七、49|1,457,056|1,675,869
管理费用|七、50|3,066,749|3,005,455
研发费用||1,434,056|940,828
财务费用|七、51|4,241,230|4,720,595
其中：利息费用||4,344,205|4,923,858
利息收入||226,921|261,193
加：其他收益|七、52|135,451|83,774
投资收益（损失以“－”号填列）|七、53|943,716|1,160,706
其中：对联营企业和合营企业的投资收益|七、53|326,239|318,882
公允价值变动收益（损失以“－”号填列）||-10,394|-9,851
信用减值损失（损失以“-”号填列）|七、54|-978,834|-171,017
资产减值损失（损失以“-”号填列）|七、55|-1,754,434|-1,424,162
资产处置收益（损失以“－”号填列）|七、56|448,439|259,684
三、营业利润（亏损以“－”号填列）||2,302,768|1,962,270
加：营业外收入|七、57|147,118|408,688
减：营业外支出|七、58|294,669|251,997
四、利润总额（亏损总额以“－”号填列）||2,155,217|2,118,961
减：所得税费用|七、60|582,188|628,376
五、净利润（净亏损以“－”号填列）||1,573,029|1,490,585
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||1,573,029|1,490,585
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||741,004|853,102
2.少数股东损益（净亏损以“-”号填列）||832,025|637,483
page|116
六、其他综合收益的税后净额|七、42|119,632|10,850
（一）归属母公司所有者的其他综合收益的税后净额||121,115|10,600
1．不能重分类进损益的其他综合收益||-41,893|42,923
（1）权益法下不能转损益的其他综合收益||-2,522|-
（2）其他权益工具投资公允价值变动||-39,371|42,923
2．将重分类进损益的其他综合收益||163,008|-32,323
（1）外币财务报表折算差额||163,008|-32,323
（二）归属于少数股东的其他综合收益的税后净额||-1,483|250
七、综合收益总额||1,692,661|1,501,435
（一）归属于母公司所有者的综合收益总额||862,119|863,702
（二）归属于少数股东的综合收益总额||830,542|637,733
八、每股收益：|||
（一）基本每股收益(元/股)|七、61|0.028|0.037
（二）稀释每股收益(元/股)|七、61|0.028|0.037
