page|75
项目|附注五|2019年度|2018年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||5,917,732,356.22|5,260,065,428.61
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金||149,387,727.50|149,408,383.02
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还|||816,306.47
收到其他与经营活动有关的现金|（八十）|107,995,768.58|48,841,716.47
经营活动现金流入小计||6,175,115,852.30|5,459,131,834.57
购买商品、接受劳务支付的现金||3,963,735,504.84|4,159,576,637.66
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||628,408,511.46|622,833,479.29
支付的各项税费||151,277,227.75|189,095,684.74
支付其他与经营活动有关的现金|（八十）|213,276,756.11|207,371,661.57
经营活动现金流出小计||4,956,698,000.16|5,178,877,463.26
经营活动产生的现金流量净额||1,218,417,852.14|280,254,371.31
二、投资活动产生的现金流量：|||
收回投资收到的现金||1,394,246,891.95|1,822,832,172.74
取得投资收益收到的现金||310,664,064.41|392,510,433.51
处置固定资产、无形资产和其他长期资产收回的现金净额||2,575,299.14|1,150,911.60
处置子公司及其他营业单位收到的现金净额|||100,446,561.15
收到其他与投资活动有关的现金|（八十）|119,067,357.40|139,327,881.23
投资活动现金流入小计||1,826,553,612.90|2,456,267,960.23
购建固定资产、无形资产和其他长期资产支付的现金||681,947,854.93|748,385,950.91
投资支付的现金||1,649,893,190.51|2,705,428,586.07
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||1,158,122,444.08
支付其他与投资活动有关的现金|（八十）|42,836,552.23|22,651,779.99
投资活动现金流出小计||2,374,677,597.67|4,634,588,761.05
投资活动产生的现金流量净额|||-548,123,984.77   -2,178,320,800.82
page|76
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||50,000,000.00
其中：子公司吸收少数股东投资收到的现金|||50,000,000.00
取得借款收到的现金||4,346,469,498.44|6,276,097,623.73
收到其他与筹资活动有关的现金|（八十）|4,087,443.89|241,709,127.12
筹资活动现金流入小计||4,350,556,942.33|6,567,806,750.85
偿还债务支付的现金||4,434,224,026.85|6,104,035,238.78
分配股利、利润或偿付利息支付的现金||623,198,157.13|508,398,784.62
其中：子公司支付给少数股东的股利、利润||25,879,576.92|25,938,303.47
支付其他与筹资活动有关的现金|（八十）|17,671,970.75|30,871,170.30
筹资活动现金流出小计||5,075,094,154.73|6,643,305,193.70
筹资活动产生的现金流量净额||-724,537,212.40|-75,498,442.85
四、汇率变动对现金及现金等价物的影响||10,877,256.99|75,861,181.62
五、现金及现金等价物净增加额|||-43,366,088.04   -1,897,703,690.74
加：期初现金及现金等价物余额||3,015,139,151.46|4,912,842,842.20
六、期末现金及现金等价物余额||2,971,773,063.42|3,015,139,151.46
