page|66
|2020 年度||
编制单位：深圳市德赛电池科技股份有限公司||（除特别注明外，金额单位均为人民币元）|
项目|附注六|本期金额|上期金额
一、营业收入|注释 36|19,397,824,463.66|18,442,687,582.11
减： 营业成本|注释 36|17,715,828,163.32|16,900,676,221.32
税金及附加|注释 37|50,126,606.01|38,743,733.31
销售费用|注释 38|102,172,242.24|131,994,691.48
管理费用|注释 39|224,197,083.85|216,148,821.50
研发费用|注释 40|350,775,102.52|296,336,110.75
财务费用|注释 41|32,352,041.99|23,428,540.77
其中：利息费用||196,732,894.64|269,581,173.63
利息收入||185,348,326.75|238,340,511.98
加： 其他收益|注释 42|29,434,578.00|12,075,839.30
投资收益|注释 43|15,832,892.69|13,970,309.61
其中：对联营企业和合营企业的投资收益||(664,403.88)|-
以摊余成本计量的金融资产终止确认收益||-|-
净敞口套期收益||-|-
公允价值变动收益|注释 44|(35,249,382.04)|-
信用减值损失|注释 45|(11,326,100.37)|(9,702,156.83)
资产减值损失|注释 46|(18,267,546.66)|(12,467,373.55)
资产处置收益|注释 47|1,838,818.06|1,797,497.96
二、营业利润||904,636,483.41|841,033,579.47
加： 营业外收入|注释 48|20,530,608.69|14,902,249.95
减： 营业外支出|注释 49|5,529,629.50|1,945,042.37
三、利润总额||919,637,462.60|853,990,787.05
减： 所得税费用|注释 50|179,360,520.59|184,153,062.51
四、净利润||740,276,942.01|669,837,724.54
其中：同一控制下企业合并被合并方在合并前实现的净利润||-|-
（一）按经营持续性分类|||
持续经营净利润||740,276,942.01|669,837,724.54
终止经营净利润||-|-
（二）按所有权归属分类|||
归属于母公司股东的净利润||669,692,211.27|502,179,819.24
少数股东损益||70,584,730.74|167,657,905.30
五、其他综合收益的税后净额||(4,318,508.70)|934,118.67
归属于母公司股东的其他综合收益的税后净额||(4,448,434.71)|698,754.92
（一）不能重分类进损益的其他综合收益||-|-
（二）将重分类进损益的其他综合收益||(4,448,434.71)|698,754.92
1.外币财务报表折算差额||(4,448,434.71)|698,754.92
归属于少数股东的其他综合收益的税后净额||129,926.01|235,363.75
六、综合收益总额||735,958,433.31|670,771,843.21
归属于母公司股东的综合收益总额||665,243,776.56|502,878,574.16
归属于少数股东的综合收益总额||70,714,656.75|167,893,269.05
七、每股收益：|||
（一）基本每股收益||3.2321|2.4409
（二）稀释每股收益||3.2321|2.4409
（后附财务报表附注为合并财务报表的组成部分）|||
