page|67
|合并现金流量表||
|2020 年度||
编制单位：深圳市德赛电池科技股份有限公司|||（除特别注明外，金额单位均为人民币元）
项 目|附注六|本期金额|上期金额
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||18,965,025,502.94|19,572,006,032.50
收到的税费返还||223,840,785.43|409,693,896.37
收到其他与经营活动有关的现金|注释 51|428,224,640.95|269,583,653.22
经营活动现金流入小计||19,617,090,929.32|20,251,283,582.09
购买商品、接受劳务支付的现金||16,669,135,147.67|16,896,997,764.62
支付给职工以及为职工支付的现金||1,059,797,980.91|1,066,907,357.52
支付的各项税费||258,133,375.38|281,884,676.39
支付其他与经营活动有关的现金|注释 51|347,866,534.36|410,923,868.01
经营活动现金流出小计||18,334,933,038.32|18,656,713,666.54
经营活动产生的现金流量净额||1,282,157,891.00|1,594,569,915.55
二、投资活动产生的现金流量：|||
收回投资所收到的现金||-|-
取得投资收益收到的现金||16,645,005.33|14,034,176.29
处置固定资产、无形资产和其他长期资产收回|||
||6,992,766.05|6,417,958.29
的现金净额|||
处置子公司及其他营业单位收到的现金净额||-|-
收到其他与投资活动有关的现金|注释 51|5,459,584,925.00|6,437,280,000.00
投资活动现金流入小计||5,483,222,696.38|6,457,732,134.58
购建固定资产、无形资产和其他长期资产支付|||
|注释 51|674,461,761.39|553,945,281.17
的现金|||
投资支付的现金||20,000,000.00|-
取得子公司及其他营业单位支付的现金净额||-|-
支付其他与投资活动有关的现金|注释 51|5,189,014,925.00|6,485,084,720.00
投资活动现金流出小计||5,883,476,686.39|7,039,030,001.17
投资活动产生的现金流量净额||(400,253,990.01)|(581,297,866.59)
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||-|58,118,060.00
其中：子公司吸收少数股东投资收到的现金||-|30,000,000.00
取得借款收到的现金||1,359,882,123.68|2,162,036,597.34
收到其他与筹资活动有关的现金|注释 51|103,744,051.75|48,855,668.58
筹资活动现金流入小计||1,463,626,175.43|2,269,010,325.92
偿还债务支付的现金||1,261,530,683.50|2,582,890,212.94
分配股利、利润或偿付利息支付的现金||605,577,982.66|328,127,252.92
其中：子公司支付给少数股东的股利、利润||200,000,000.00|50,000,000.00
支付其他与筹资活动有关的现金|注释 51|447,213,966.98|179,438,361.25
筹资活动现金流出小计||2,314,322,633.14|3,090,455,827.11
筹资活动产生的现金流量净额||(850,696,457.71)|(821,445,501.19)
四、汇率变动对现金及现金等价物的影响||(19,453,597.46)|3,196,241.19
五、现金及现金等价物净增加额||11,753,845.82|195,022,788.96
加：期初现金及现金等价物余额||465,267,723.31|270,244,934.35
六、期末现金及现金等价物余额|注释 52|477,021,569.13|465,267,723.31
（后附财务报表附注为合并财务报表的组成部分）|||
企业法定代表人：刘其             主管会计工作负责人：何文彬            会计机构负责人：陈莉|||
