page|80
项目|附注|2020年度|2019年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||1,899,669,203.97|1,464,654,202.13
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||247,431.75|
收到其他与经营活动有关的现金||53,330,453.49|41,564,419.35
经营活动现金流入小计||1,953,247,089.21|1,506,218,621.48
page|81
购买商品、接受劳务支付的现金||1,050,502,524.69|802,410,115.76
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||200,974,572.59|186,635,690.96
支付的各项税费||147,139,669.35|117,768,221.07
支付其他与经营活动有关的现金||176,600,217.14|207,412,629.46
经营活动现金流出小计||1,575,216,983.77|1,314,226,657.25
经营活动产生的现金流量净额||378,030,105.44|191,991,964.23
二、投资活动产生的现金流量：|||
收回投资收到的现金||963,000,000.00|285,000,000.00
取得投资收益收到的现金||9,032,318.05|10,230,528.64
处置固定资产、无形资产和其他长期资产收回的现金净额||1,244,082.20|298,182.00
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|||
投资活动现金流入小计||973,276,400.25|295,528,710.64
购建固定资产、无形资产和其他长期资产支付的现金||212,138,387.60|236,597,554.59
投资支付的现金||1,010,000,000.00|208,000,000.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额||29,775,800.00|116,747,610.84
支付其他与投资活动有关的现金|||
投资活动现金流出小计||1,251,914,187.60|561,345,165.43
投资活动产生的现金流量净额||-278,637,787.35|-265,816,454.79
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金|||9,800,000.00
收到其他与筹资活动有关的现金|||
筹资活动现金流入小计|||9,800,000.00
偿还债务支付的现金||6,484,673.71|109,800,000.00
page|82
分配股利、利润或偿付利息支付的现金||60,907,247.63|73,606,911.30
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金||599,767.59|991,020.80
筹资活动现金流出小计||67,991,688.93|184,397,932.10
筹资活动产生的现金流量净额||-67,991,688.93|-174,597,932.10
四、汇率变动对现金及现金等价物的影响|||
五、现金及现金等价物净增加额||31,400,629.16|-248,422,422.66
加：期初现金及现金等价物余额||86,062,661.58|334,485,084.24
六、期末现金及现金等价物余额||117,463,290.74|86,062,661.58
