page|158
|||合并及公司资产负债表||
编制单位：丽珠医药集团股份有限公司|||||金额单位：人民币元
||年末数||年初数|
项     目|附注||||
||合并|公司|合并|公司
流动资产：|||||
货币资金|五、1|9,146,373,455.01|7,577,721,240.98|9,953,747,563.47|8,294,328,499.23
交易性金融资产|五、2|182,773,354.56|13,250,402.40|25,984,877.13|8,754,494.72
应收票据|五、3|1,342,029,380.44|892,715,893.48|1,148,944,595.17|688,384,493.33
应收账款|五、4|1,951,898,111.20|905,682,483.41|1,743,148,037.38|857,024,809.25
应收款项融资|||||
预付款项|五、5|281,083,347.36|17,548,790.19|142,174,129.24|13,438,567.51
其他应收款|五、6|47,768,970.54|1,198,183,164.60|74,284,405.28|1,370,317,540.56
其中：应收利息|||||
应收股利|||340,100,088.07||434,213,482.03
存货|五、7|1,663,227,968.17|495,944,039.54|1,487,796,389.98|743,377,427.72
合同资产|||||
持有待售资产|||||
一年内到期的非流动资产  五、8||317,381.23||11,414,376.07|10,967,767.26
其他流动资产|五、9|57,624,626.16|5,465,630.24|39,862,609.49|8,628,913.28
流动资产合计||14,673,096,594.67|11,106,511,644.84|14,627,356,983.21|11,995,222,512.86
非流动资产：|||||
债权投资|||||
其他债权投资|||||
长期应收款|五、10|266,904.13||584,284.36|
长期股权投资|五、11|1,064,968,250.00|3,785,447,205.34|245,115,479.10|2,138,934,119.37
其他权益工具投资|五、12|629,914,544.37|176,366,200.00|742,974,792.15|177,229,648.84
其他非流动金融资产|||||
投资性房地产|||||
固定资产|五、13|3,669,728,093.97|92,968,672.60|3,303,077,566.22|97,140,873.58
在建工程|五、14|554,575,587.48||385,700,738.39|
生产性生物资产|||||
油气资产|||||
使用权资产|五、15|14,588,322.60|870,120.32|18,311,378.07|311,775.51
无形资产|五、16|260,279,167.34|29,857,473.53|236,430,749.15|32,690,639.64
开发支出|五、17|574,499,574.42|13,244,598.15|251,389,209.57|2,826,633.88
商誉|五、18|103,040,497.85||103,040,497.85|
长期待摊费用|五、19|129,910,521.60|6,458,038.53|122,101,772.58|5,669,100.62
递延所得税资产|五、20|252,694,687.27|94,308,174.28|238,226,789.25|59,140,301.69
其他非流动资产|五、21|444,352,845.12|78,030,099.24|316,505,551.82|71,540,318.35
非流动资产合计||7,698,818,996.15|4,277,550,581.99|5,963,458,808.51|2,585,483,411.48
资产总计||22,371,915,590.82|15,384,062,226.83|20,590,815,791.72|14,580,705,924.34
