page|160
编制单位：丽珠医药集团股份有限公司||||金额单位：人民币元|
||本年数||上年数|
项     目|附注||||
||合并|公司|合并|公司
一、营业收入|五、42  12,063,863,272.98|||6,278,308,877.95  10,520,409,842.01|4,836,402,188.28
减：营业成本|五、42|4,253,087,484.45|4,262,867,079.53|3,673,710,773.68|3,252,777,509.57
税金及附加|五、43|137,429,076.05|35,403,495.31|123,623,151.40|20,034,561.38
销售费用|五、44|3,883,874,503.06|1,368,704,917.93|3,075,868,822.02|1,350,758,733.90
管理费用|五、45|664,181,161.91|264,979,486.58|664,290,132.84|242,999,716.64
研发费用|五、46|1,145,702,329.81|367,692,503.54|884,095,367.52|272,004,182.78
财务费用|五、47|-70,040,758.57|-71,270,539.63|-103,638,803.65|-129,064,696.02
其中：利息费用||83,997,234.61|103,263,316.34|25,313,177.20|71,521,415.19
利息收入||162,189,969.03|173,173,456.46|175,564,199.33|202,004,096.90
加：其他收益|五、48|208,042,576.09|116,270,100.55|216,183,014.18|117,931,240.95
投资收益(损失以“-”号填列）|五、49|89,624,998.41|1,011,372,026.17|147,628,336.17|1,284,961,188.46
其中：对联营企业和合营企业的投资收益||39,063,937.38|38,189,158.98|1,907,349.46|-13,896,696.16
以摊余成本计量的金融资产终止确认收益（损|||||
失以“-”号填列）|||||
净敞口套期收益(损失以“-”号填列）|||||
公允价值变动收益(损失以“-”号填列）|五、50|-23,027,244.25|4,495,907.68|8,806,719.32|718,554.16
信用减值损失(损失以“-”号填列）|五、51|-7,537,023.14|-910,244.57|-1,279,991.91|-10,450,465.51
资产减值损失(损失以“-”号填列）|五、52|-56,777,500.66|-14,708,173.83|-72,276,909.36|-7,730,158.67
资产处置收益(损失以“-”号填列）|五、53|7,034,712.12|67,317.96|-1,072,396.76|29,637.61
二、营业利润(亏损以“-”号填列）||2,266,989,994.84|1,166,518,868.65|2,500,449,169.84|1,212,352,177.03
加：营业外收入|五、54|6,885,107.15|33,906.59|8,192,217.16|10,066.53
减：营业外支出|五、55|28,186,272.24|19,307,149.64|19,205,699.23|12,801,978.15
三、利润总额(亏损总额以“-”号填列）||2,245,688,829.75|1,147,245,625.60|2,489,435,687.77|1,199,560,265.41
减：所得税费用|五、56|293,587,660.82|-24,717,420.89|358,108,981.27|-16,669,843.23
四、净利润(净亏损以“-”号填列）||1,952,101,168.93|1,171,963,046.49|2,131,326,706.50|1,216,230,108.64
（一）按经营持续性分类：|||||
其中：持续经营净利润（净亏损以“-”号填列）||1,952,101,168.93|1,171,963,046.49|2,131,326,706.50|1,216,230,108.64
终止经营净利润（净亏损以“-”号填列）|||||
（二）按所有权归属分类：|||||
其中：  归属于母公司股东的净利润（净亏损以“-”号填列）||1,775,683,251.01|1,171,963,046.49|1,714,910,390.36|1,216,230,108.64
少数股东损益（净亏损以“-”号填列）||176,417,917.92||416,416,316.14|
五、其他综合收益的税后净额||-117,203,117.54|14,444,743.17|141,385,462.11|49,769,716.39
归属于母公司股东的其他综合收益的税后净额||-123,434,802.86|14,444,743.17|143,579,828.91|49,769,716.39
（一）不能重分类进损益的其他综合收益||-98,393,505.09|14,475,011.44|186,438,515.80|49,810,034.00
1、重新计量设定受益计划变动额|||||
2、权益法下不能转损益的其他综合收益||14,820,196.44|14,820,196.44||
3、其他权益工具投资公允价值变动||-113,213,701.53|-345,185.00|186,438,515.80|49,810,034.00
4、企业自身信用风险公允价值变动|||||
5、其他|||||
（二）将重分类进损益的其他综合收益||-25,041,297.77|-30,268.27|-42,858,686.89|-40,317.61
1、权益法下可转损益的其他综合收益||-30,268.27|-30,268.27|-40,317.61|-40,317.61
2、其他债权投资公允价值变动|||||
3、金融资产重分类计入其他综合收益的金额|||||
4、其他债权投资信用减值准备|||||
5、现金流量套期储备（现金流量套期损益的有效部分）|||||
6、外币财务报表折算差额||-25,011,029.50||-42,818,369.28|
7、其他|||||
归属于少数股东的其他综合收益的税后净额||6,231,685.32||-2,194,366.80|
六、综合收益总额||1,834,898,051.39|1,186,407,789.66|2,272,712,168.61|1,265,999,825.03
归属于母公司股东的综合收益总额||1,652,248,448.15|1,186,407,789.66|1,858,490,219.27|1,265,999,825.03
归属于少数股东的综合收益总额||182,649,603.24||414,221,949.34|
七、每股收益|||||
（一）基本每股收益|五、57|1.90||1.83|
（二）稀释每股收益|五、57|1.90||1.83|
