page|161
||本年数||上年数|
项          目|附注||||
||合并|公司|合并|公司
一、经营活动产生的现金流量：|||||
销售商品、提供劳务收到的现金||12,518,435,597.15|6,878,621,180.26|10,586,210,839.13|4,909,761,296.33
收到的税费返还||125,035,550.05||103,911,932.81|
收到其他与经营活动有关的现金|五、58|446,189,169.19|294,354,352.77|519,879,954.50|305,101,489.30
经营活动现金流入小计||13,089,660,316.39|7,172,975,533.03|11,210,002,726.44|5,214,862,785.63
购买商品、接受劳务支付的现金||3,133,904,122.93|4,566,238,044.94|2,741,476,711.15|2,926,429,409.30
支付给职工以及为职工支付的现金||1,381,910,198.05|476,129,928.67|1,058,159,446.26|297,950,304.24
支付的各项税费||1,360,736,805.51|278,192,764.70|1,170,169,084.70|188,104,728.21
支付其他与经营活动有关的现金|五、58|5,310,781,050.87|1,570,776,486.85|4,079,436,877.91|1,406,155,598.31
经营活动现金流出小计||11,187,332,177.36|6,891,337,225.16|9,049,242,120.02|4,818,640,040.06
经营活动产生的现金流量净额||1,902,328,139.03|281,638,307.87|2,160,760,606.42|396,222,745.57
二、投资活动产生的现金流量：|||||
收回投资收到的现金||110,302,936.39|210,365,906.70|227,939,643.71|139,518,392.30
取得投资收益收到的现金||98,381,922.55|1,111,050,061.15|45,342,426.88|1,339,051,756.62
处置固定资产、无形资产和其他长期资产收回的现金净额||9,087,580.53|3,097,339.07|5,114,538.05|314,150.00
处置子公司及其他营业单位收到的现金净额||3,311,220.53||5,339,063.95|15,000,000.00
收到其他与投资活动有关的现金|五、58|187,700.00||28,508,016.38|
投资活动现金流入小计||221,271,360.00|1,324,513,306.92|312,243,688.97|1,493,884,298.92
购置固定资产、无形资产和其他长期资产支付的现金||1,309,101,642.09|47,626,639.35|646,976,072.86|36,195,065.83
投资支付的现金||786,000,000.00|1,720,950,649.54|129,187,468.09|301,792,110.00
取得子公司及其他营业单位支付的现金净额|||||
支付其他与投资活动有关的现金|五、58|3,070,040.41|1,163,800.00|3,924,163.00|
投资活动现金流出小计||2,098,171,682.50|1,769,741,088.89|780,087,703.95|337,987,175.83
投资活动产生的现金流量净额||-1,876,900,322.50|-445,227,781.97|-467,844,014.98|1,155,897,123.09
三、筹资活动产生的现金流量：|||||
吸收投资收到的现金||798,267,306.73|202,557,825.73|357,264,512.67|352,264,512.67
其中：子公司吸收少数股东投资收到的现金||595,709,481.00||5,000,000.00|
取得借款收到的现金||2,799,880,943.19|820,000,000.00|2,383,579,914.03|1,260,000,000.00
收到其他与筹资活动有关的现金|五、58|1,269,151.85|778,960,622.14|2,778,643.64|1,642,905.48
筹资活动现金流入小计||3,599,417,401.77|1,801,518,447.87|2,743,623,070.34|1,613,907,418.15
偿还债务支付的现金||2,033,581,286.53|903,400,000.00|1,829,811,030.60|1,250,100,000.00
分配股利、利润或偿付利息支付的现金||1,501,347,886.26|1,228,636,101.56|1,181,793,042.82|1,089,293,506.59
其中：子公司支付少数股东的股利、利润||243,976,580.03||81,760,934.22|
支付其他与筹资活动有关的现金|五、58|879,505,734.14|243,198,384.33|250,061,413.16|304,581,468.73
筹资活动现金流出小计||4,414,434,906.93|2,375,234,485.89|3,261,665,486.58|2,643,974,975.32
筹资活动产生的现金流量净额||-815,017,505.16|-573,716,038.02|-518,042,416.24|-1,030,067,557.17
四、汇率变动对现金及现金等价物的影响||-37,150,333.33|1,052,826.26|-77,010,038.66|-1,032,304.81
五、现金及现金等价物净增加额||-826,740,021.96|-736,252,685.86|1,097,864,136.54|521,020,006.68
加：期初现金及现金等价物余额||9,952,049,990.08|8,293,938,909.86|8,854,185,853.54|7,772,918,903.18
六、期末现金及现金等价物余额||9,125,309,968.12|7,557,686,224.00|9,952,049,990.08|8,293,938,909.86
董事长兼法定代表人：朱保国|执行董事兼总裁：唐阳刚    主管会计工作负责人：司燕霞    会计机构负责人：庄健莹||||
