page|72
项目|附 注|2020 年度|2019 年度
一、营业总收入||4,798,816,953.10|5,039,164,760.23
其中：营业收入||4,798,816,953.10|5,039,164,760.23
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||4,593,980,304.15|4,915,488,648.96
其中：营业成本||3,707,718,864.78|3,853,143,049.20
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加||71,051,003.27|89,324,656.72
销售费用||436,691,944.77|496,018,496.69
管理费用||237,117,524.12|279,050,085.98
研发费用||3,507,075.11|1,822,278.72
财务费用||137,893,892.10|196,130,081.65
其中：利息费用||160,150,887.27|217,331,632.21
利息收入||30,138,539.59|26,828,495.30
加：其他收益||60,109,850.77|18,684,300.62
投资收益（损失以“－”号填列）||136,444,710.50|-4,210,046.65
其中：对联营企业和合营企业的投资收益||1,599,664.71|1,777,744.95
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）||789,970.00|52,279,599.09
信用减值损失（损失以“-”号填列）||-17,205,987.26|-6,809,630.07
资产减值损失（损失以“-”号填列）||-21,930,398.85|-102,354,412.79
资产处置收益（损失以“－”号填列）||210,439,837.30|3,168,944.96
三、营业利润（亏损以“－”号填列）||573,484,631.41|84,434,866.43
加：营业外收入||4,408,105.39|14,690,862.68
减：营业外支出||38,024,535.86|10,418,986.57
四、利润总额（亏损总额以“－”号填列）||539,868,200.94|88,706,742.54
减：所得税费用||100,918,832.38|44,074,323.82
五、净利润（净亏损以“－”号填列）||438,949,368.56|44,632,418.72
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||476,080,415.87|130,828,126.69
2.终止经营净利润（净亏损以“－”号填列）||-37,131,047.31|-86,195,707.97
（二）按所有权归属分类|||
page|73
1.归属于母公司股东的净利润（净亏损以“-”号填列）||435,734,627.67|72,926,044.30
2.少数股东损益（净亏损以“-”号填列）||3,214,740.89|-28,293,625.58
六、其他综合收益的税后净额||26,015,762.59|-11,073,243.94
（一）归属母公司所有者的其他综合收益的税后净额||26,015,762.59|-11,073,243.94
1．不能重分类进损益的其他综合收益||24,602,382.72|-11,800,000.00
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动||24,602,382.72|-11,800,000.00
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益||1,413,379.87|726,756.06
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额||1,413,379.87|726,756.06
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||464,965,131.15|33,559,174.78
（一）归属于母公司所有者的综合收益总额||461,750,390.26|61,852,800.36
（二）归属于少数股东的综合收益总额||3,214,740.89|-28,293,625.58
八、每股收益：|||
（一）基本每股收益(元/股)||0.27|0.04
（二）稀释每股收益(元/股)||0.27|0.04
