page|76
项目|附 注|2020年度|2019年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||5,357,330,612.15|5,287,633,714.15
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||14,004,617.41|6,252,783.23
收到其他与经营活动有关的现金||160,290,667.69|112,520,298.75
经营活动现金流入小计||5,531,625,897.25|5,406,406,796.13
购买商品、接受劳务支付的现金||3,578,175,603.77|4,132,303,438.32
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||307,849,954.00|376,479,133.94
支付的各项税费||266,358,713.84|472,869,053.16
支付其他与经营活动有关的现金||482,866,016.56|439,568,519.36
经营活动现金流出小计||4,635,250,288.17|5,421,220,144.78
经营活动产生的现金流量净额||896,375,609.08|-14,813,348.65
二、投资活动产生的现金流量：|||
收回投资收到的现金||19,222,097.69|385,161,841.99
取得投资收益收到的现金|||2,342,573.35
处置固定资产、无形资产和其他长期资产收回的现金净额||146,795,286.00|133,631,653.67
处置子公司及其他营业单位收到的现金净额||73,576,208.68|
收到其他与投资活动有关的现金||1,292,082,427.30|1,767,051,722.71
投资活动现金流入小计||1,531,676,019.67|2,288,187,791.72
购建固定资产、无形资产和其他长期资产支付的现金||343,826,611.74|155,917,183.83
投资支付的现金||5,238,121.00|37,328,457.10
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金||1,067,215,017.89|1,403,650,000.00
投资活动现金流出小计||1,416,279,750.63|1,596,895,640.93
投资活动产生的现金流量净额||115,396,269.04|691,292,150.79
page|77
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金||4,563,327,000.00|5,739,626,376.11
收到其他与筹资活动有关的现金|||179,348,000.00
筹资活动现金流入小计||4,563,327,000.00|5,918,974,376.11
偿还债务支付的现金||5,280,538,456.62|5,726,605,642.27
分配股利、利润或偿付利息支付的现金||118,020,750.90|148,493,045.78
其中：子公司支付给少数股东的股利、利润||1,800,000.00|
支付其他与筹资活动有关的现金||96,092,309.34|268,052,875.73
筹资活动现金流出小计||5,494,651,516.86|6,143,151,563.78
筹资活动产生的现金流量净额||-931,324,516.86|-224,177,187.67
四、汇率变动对现金及现金等价物的影响||-175,225.72|6,690.39
五、现金及现金等价物净增加额||80,272,135.54|452,308,304.86
加：期初现金及现金等价物余额||1,680,017,680.37|1,227,709,375.51
六、期末现金及现金等价物余额||1,760,289,815.91|1,680,017,680.37
