page|95
项目|附注|2020年度|2019年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||1,326,933,866.97|1,305,589,170.38
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金||1,758,749,965.74|2,015,747,824.81
拆入资金净增加额||-300,000,000.00|200,000,000.00
回购业务资金净增加额||-2,684,994,554.61|470,173,754.20
代理买卖证券收到的现金净额|||2,439,091,916.25
融出资金净减少额||109,238,886.22|
收到的税费返还||19,376,911.21|27,236,225.72
收到其他与经营活动有关的现金||6,249,557,113.61|1,515,903,821.00
经营活动现金流入小计||6,478,862,189.14|7,973,742,712.36
购买商品、接受劳务支付的现金||1,039,130,491.67|776,779,900.88
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金||318,705,079.64|434,044,568.45
代理买卖证券支付的现金净额||150,919,509.81|
融出资金净增加额|||1,555,671,227.42
支付保单红利的现金|||
支付给职工及为职工支付的现金||943,435,183.94|929,365,737.39
支付的各项税费||190,950,219.54|386,283,513.24
支付其他与经营活动有关的现金||410,952,646.39|454,311,718.51
经营活动现金流出小计||3,054,093,130.99|4,536,456,665.89
经营活动产生的现金流量净额||3,424,769,058.15|3,437,286,046.47
二、投资活动产生的现金流量：|||
收回投资收到的现金||1,419,797,755.26|1,394,237,233.23
取得投资收益收到的现金||40,338,522.90|42,153,061.55
处置固定资产、无形资产和其他长期资产收回的现金净额||36,882,481.66|32,955,786.00
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|||
投资活动现金流入小计||1,497,018,759.82|1,469,346,080.78
购建固定资产、无形资产和其他长期资产支付的现金||195,942,981.54|199,670,333.26
投资支付的现金||1,446,282,874.34|1,430,427,389.82
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
page|96
支付其他与投资活动有关的现金||109,361,031.97|
投资活动现金流出小计||1,751,586,887.85|1,630,097,723.08
投资活动产生的现金流量净额||-254,568,128.03|-160,751,642.30
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金||916,660,000.00|322,000,000.00
发行债券收到的现金||6,076,570,000.00|6,378,480,000.00
收到其他与筹资活动有关的现金||51,666,727.23|47,482,972.60
筹资活动现金流入小计||7,044,896,727.23|6,747,962,972.60
偿还债务支付的现金||9,464,270,000.00|6,167,170,000.00
分配股利、利润或偿付利息支付的现金||683,272,789.17|562,565,429.82
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金||104,017,760.27|139,129,678.01
筹资活动现金流出小计||10,251,560,549.44|6,868,865,107.83
筹资活动产生的现金流量净额||-3,206,663,822.21|-120,902,135.23
四、汇率变动对现金及现金等价物的影响||-3,584,212.18|411,102.29
五、现金及现金等价物净增加额||-40,047,104.27|3,156,043,371.23
加：期初现金及现金等价物余额||9,417,417,884.46|6,261,374,513.23
六、期末现金及现金等价物余额||9,377,370,780.19|9,417,417,884.46
