page|87
项            目|本期发生额|上期发生额|附注编号
一、营业总收入||243,207,861,928.94       235,981,035,684.68|
其中: 营业收入||243,094,868,536.68       235,933,564,582.09|六、（四十三）
△利息收入||59,055,702.99           36,720,901.60|六、（四十三）
△已赚保费|||
△手续费及佣金收入||53,937,689.27           10,750,200.99|六、（四十三）
二、营业总成本||198,058,385,738.59       188,841,883,128.17|
其中:营业成本||163,951,071,936.32       153,449,636,272.28|六、（四十三）
△利息支出|||
△手续费及佣金支出|||
△退保金|||
△赔付支出净额|||
△提取保险责任准备金净额|||
△保单红利支出|||
△分保费用|||
税金及附加||18,495,370,904.63        21,840,553,947.35|六、（四十四）
销售费用||6,876,623,310.34         6,680,664,007.67|六、（四十五）
管理费用||4,315,043,185.03         4,233,044,430.65|六、（四十六）
研发费用||1,260,470,195.49            56,258,733.08|六、（四十七）
财务费用||3,159,806,206.78         2,581,725,737.14|六、（四十八）
其中：利息费用||5,870,397,845.63         4,604,619,675.42|六、（四十八）
利息收入||2,445,492,678.19         2,253,182,383.68|六、（四十八）
加：其他收益||151,938,773.29            49,246,320.92|六、（四十九）
投资收益（损失以“－”号填列）||6,141,421,444.11         3,701,586,708.22|六、（五十）
其中:对联营企业和合营企业的投资收益||5,054,082,818.19         3,503,395,402.11|六、（五十）
以摊余成本计量的金融资产终止确认收益 （损失以“－”号填列）|||
△汇兑收益（损失以“-”号填列）|||
净敞口套期收益 （损失以“-”号填列）|||
公允价值变动收益 （损失以“－”号填列）||53,386,471.61          712,897,272.34|六、（五十一）
信用减值损失 （损失以“－”号填列）||-70,500,552.61         -154,453,391.61|六、（五十二）
资产减值损失 （损失以“－”号填列）||849,033,639.49        -1,047,843,355.70|六、（五十三）
资产处置收益 （损失以“-”号填列）||-10,087,268.36            1,691,507.08|六、（五十四）
三、营业利润（亏损以“－”号填列）||52,264,668,697.88        50,402,277,617.76|
加: 营业外收入||409,134,637.80           352,599,232.60|六、（五十五）
减：营业外支出||136,047,915.98           224,161,123.61|六、（五十六）
四、利润总额（亏损总额以“－”号填列）||52,537,755,419.70        50,530,715,726.75|
减：所得税费用||12,489,547,840.34        12,976,749,482.07|六、（五十七）
五、净利润（净亏损以“－”号填列）||40,048,207,579.36        37,553,966,244.68|
其中:被合并方在合并前实现的净利润|||
（一）按经营持续性分类|||
1.持续经营净利润 （净亏损以“－”号填列）||40,048,207,579.36        37,553,966,244.68|
2.终止经营净利润 （净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润 （净亏损以“－”号填列）||28,948,429,856.66        27,959,019,793.11|
2.少数股东损益 （净亏损以“－”号填列）||11,099,777,722.70         9,594,946,451.57|
六、其他综合收益的税后净额||211,649,268.09            68,307,015.91|六、（五十八）
归属母公司所有者的其他综合收益的税后净额||211,649,268.09            68,288,542.99|六、（五十八）
(一) 不能重分类进损益的其他综合收益|||
1.重新计量设定受益计划变动额|||
2.权益法下不能转损益的其他综合收益|||
3.其他权益工具投资公允价值变动|||
4.企业自身信用风险公允价值变动|||
(二) 将重分类进损益的其他综合收益||211,649,268.09            68,288,542.99|六、（五十八）
1.权益法下可转损益的其他综合收益||86,182,460.45          -27,515,419.66|
2.其他债权投资公允价值变动|||
3.金融资产重分类计入其他综合收益的金额|||
4.其他债权投资信用减值准备|||
5.现金流量套期储备||-5,597,835.51          -52,986,511.67|
6.外币财务报表折算差额||131,064,643.15           148,790,474.32|
7.其他|||
归属于少数股东的其他综合收益的税后净额||18,472.92|
七、综合收益总额||40,259,856,847.45        37,622,273,260.59|
归属于母公司所有者的综合收益总额||29,160,079,124.75        28,027,308,336.10|
归属于少数股东的综合收益总额||11,099,777,722.70         9,594,964,924.49|
八、每股收益|||
(一) 基本每股收益 （元/股）||2.42                    2.35|
(二) 稀释每股收益 （元/股）||2.42                    2.35|
