page|88
项              目|本期发生额|上期发生额|附注编号
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金|322,970,637,386.57|282,038,772,413.60|
△客户存款和同业存放款项净增加额|||
△向中央银行借款净增加额|||
△向其他金融机构拆入资金净增加额|||
△收到原保险合同保费取得的现金|||
△收到再保险业务现金净额|||
△保户储金及投资款净增加额|||
△收取利息、手续费及佣金的现金|113,170,573.97|50,916,014.94|
△拆入资金净增加额|||
△回购业务资金净增加额|||
△代理买卖证券收到的现金净额|||
收到的税费返还|||
收到其他与经营活动有关的现金|87,429,205,114.02|70,962,535,748.16  六、（五十九）|
经营活动现金流入小计|410,513,013,074.56|353,052,224,176.70|
购买商品、接受劳务支付的现金|244,535,602,535.98|202,254,949,464.68|
△客户贷款及垫款净增加额|1,320,909,748.35|175,499,692.22|
△存放中央银行和同业款项净增加额|||
△支付原保险合同赔付款项的现金|||
△拆出资金净增加额|||
△支付利息、手续费及佣金的现金|||
△支付保单红利的现金|||
支付给职工以及为职工支付的现金|8,146,538,725.14|7,598,363,241.25|
支付的各项税费|45,499,334,843.37|44,658,834,065.39|
支付其他与经营活动有关的现金|95,860,149,601.99|59,209,261,978.06  六、（五十九）|
经营活动现金流出小计|395,362,535,454.83|313,896,908,441.60|
经营活动产生的现金流量净额|15,150,477,619.73|39,155,315,735.10|六、（六十）
二、投资活动产生的现金流量：|||
收回投资收到的现金|1,065,665,959.26|403,396,957.94|
取得投资收益收到的现金|840,573,180.68|342,920,650.97|
处置固定资产、无形资产和其他长期资产收回的现金净额|1,018,515,898.35|11,947,153.51|
处置子公司及其他营业单位收到的现金净额|30,000,000.00|43,400,486.61|六、（六十）
收到其他与投资活动有关的现金|3,617,424,690.37|1,350,537,360.68  六、（五十九）|
投资活动现金流入小计|6,572,179,728.66|2,152,202,609.71|
购建固定资产、无形资产和其他长期资产支付的现金|397,467,370.42|279,118,973.00|
投资支付的现金|7,603,636,164.85|11,473,220,095.04|
△质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|2,530,869,417.32|733,676,714.00|六、（六十）
支付其他与投资活动有关的现金|2,967,646,911.04|164,561,694.43  六、（五十九）|
投资活动现金流出小计|13,499,619,863.63|12,650,577,476.47|
投资活动产生的现金流量净额|-6,927,440,134.97|-10,498,374,866.76|
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|7,928,926,263.61|18,042,299,305.01|
其中：子公司吸收少数股东投资收到的现金|2,467,167,308.01|8,607,063,981.82|
取得借款收到的现金|151,340,085,047.45|102,417,950,351.47|
收到其他与筹资活动有关的现金|700,000.00||六、（五十九）
筹资活动现金流入小计|159,269,711,311.06|120,460,249,656.48|
偿还债务支付的现金|131,310,439,290.20|98,288,877,836.14|
分配股利、利润或偿付利息支付的现金|29,035,340,190.75|23,328,868,240.95|
其中：子公司支付给少数股东的股利、利润|2,452,416,396.18|2,187,267,045.39|
支付其他与筹资活动有关的现金|801,868,926.57|1,677,154,660.38  六、（五十九）|
筹资活动现金流出小计|161,147,648,407.52|123,294,900,737.47|
筹资活动产生的现金流量净额|-1,877,937,096.46|-2,834,651,080.99|
四、汇率变动对现金的影响|-39,539,910.47|76,351,261.93|
五、现金及现金等价物净增加额|6,305,560,477.83|25,898,641,049.28|六、（六十）
加：期初现金及现金等价物的余额|138,974,278,501.22|113,075,637,451.94|六、（六十）
六、期末现金及现金等价物余额|145,279,838,979.05|138,974,278,501.22|六、（六十）
