page|85
项            目|2020年12月31日|2019年12月31日|附注编号
流动资产|||
货币资金|146,007,645,676.61               139,419,433,116.21||六、（一）
△结算备付金|||
△拆出资金|||
交易性金融资产|507,227,288.79                    72,799,500.00||六、（二）
衍生金融资产|294,734,982.22                   276,322,069.37||六、（三）
应收票据|1,500,000.00||六、（四）
应收账款|2,450,315,093.79                 1,845,278,032.00||六、（五）
应收款项融资|||
预付款项|42,196,666,025.47                42,750,953,567.98||六、（六）
△应收保费|||
△应收分保账款|||
△应收分保合同准备金|||
其他应收款|153,245,111,130.63               133,124,814,079.88||六、（七）
其中：应收利息|27,619,879.77                   76,315,150.59||六、（七）
应收股利|248,953,977.65                   250,606,720.33||六、（七）
△买入返售金融资产|||
存货|741,475,383,722.21               584,001,435,001.13||六、（八）
合同资产|1,543,531,346.90||六、（九）
持有待售资产|||
一年内到期的非流动资产|||
其他流动资产|48,503,405,959.69                35,430,930,300.00||六、（十）
流动资产合计|1,136,225,521,226.31               936,921,965,666.57||
非流动资产|||
△发放贷款和垫款|1,791,952,362.98                   491,887,018.59||六、（十一）
债权投资|||
其他债权投资|||
长期应收款|||
长期股权投资|72,549,885,370.60                59,046,255,887.66||六、（十二）
其他权益工具投资|331,226,691.66                   330,000,000.00||六、（十三）
其他非流动金融资产|2,329,711,339.50                 2,780,092,521.49||六、（十四）
投资性房地产|21,231,954,235.54                19,509,633,674.27||六、（十五）
固定资产|7,658,999,879.55                 7,471,971,557.62||六、（十六）
在建工程|546,462,505.78                   495,267,675.82||六、（十七）
生产性生物资产|||
油气资产|||
使用权资产|40,219,597.45                   29,675,959.54||六、（十八）
无形资产|429,766,830.35                   389,242,931.17||六、（十九）
开发支出|||
商誉|66,824,058.16                   48,959,058.17||六、（二十）
长期待摊费用|559,066,864.51                   531,768,691.97||六、（二十一）
递延所得税资产|7,613,328,124.03                 5,161,998,926.54||六、（二十二）
其他非流动资产|||
非流动资产合计|115,149,397,860.11                96,286,753,902.84||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
|||
资  产  总  计|1,251,374,919,086.42             1,033,208,719,569.41||
page|86
项            目|2020年12月31日|2019年12月31日|附注编号
流动负债|||
短期借款|4,777,011,542.54|3,133,473,602.94|六、（二十三）
△向中央银行借款|||
△拆入资金|||
交易性金融负债|||
衍生金融负债|21,158,936.91||六、（二十四）
