page|139
项             目|附注|2019 年度|2018 年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||38,684,215,588.16|28,724,863,049.33
收到的税费返还||16,640,722.55|102,761.76
收到其他与经营活动有关的现金|六、57|20,977,272,418.03|23,719,841,710.40
经营活动现金流入小计||59,678,128,728.74|52,444,807,521.49
购买商品、接受劳务支付的现金||23,030,832,627.20|17,944,343,017.82
支付给职工以及为职工支付的现金||1,917,155,159.56|1,728,921,668.43
支付的各项税费||7,258,175,441.12|5,394,654,657.73
支付其他与经营活动有关的现金|六、57|23,406,973,128.95|26,250,080,821.36
经营活动现金流出小计||55,613,136,356.83|51,318,000,165.34
经营活动产生的现金流量净额||4,064,992,371.91|1,126,807,356.15
二、投资活动产生的现金流量：|||
收回投资收到的现金||2,310,904,104.89|1,000,000.00
取得投资收益收到的现金||309,388,551.77|237,973,042.94
处置固定资产、无形资产和其他长期资产收回的现金净额||2,304,088.77|61,048,890.27
处置子公司及其他营业单位收到的现金净额||614,817,228.49|634,183,665.54
收到其他与投资活动有关的现金|六、57|13,257,343,179.63|9,856,819,188.47
投资活动现金流入小计||16,494,757,153.55|10,791,024,787.22
购建固定资产、无形资产和其他长期资产支付的现金||2,389,528,331.80|2,574,792,648.18
投资支付的现金||1,947,520,900.00|6,397,764,310.01
取得子公司及其他营业单位支付的现金净额||961,489,375.61|84,621,168.09
支付其他与投资活动有关的现金|六、57|13,365,168,560.79|14,611,871,675.78
投资活动现金流出小计||18,663,707,168.20|23,669,049,802.06
投资活动产生的现金流量净额||-2,168,950,014.65|-12,878,025,014.84
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||6,688,544,382.64|905,640,357.00
其中：子公司吸收少数股东投资收到的现金||4,287,022,985.91|905,640,357.00
取得借款所收到的现金||33,992,790,491.10|37,343,788,972.12
收到其他与筹资活动有关的现金|六、57|2,571,958,909.09|4,277,685,329.98
筹资活动现金流入小计||43,253,293,782.83|42,527,114,659.10
偿还债务所支付的现金||27,415,253,274.08|23,486,439,606.98
分配股利、利润或偿付利息所支付的现金||5,082,029,110.29|4,739,808,778.49
其中：子公司支付给少数股东的股利、利润||646,019,742.80|1,082,708,428.88
支付其他与筹资活动有关的现金|六、57|4,662,884,317.50|4,046,980,112.57
筹资活动现金流出小计||37,160,166,701.87|32,273,228,498.04
筹资活动产生的现金流量净额||6,093,127,080.96|10,253,886,161.06
四、汇率变动对现金及现金等价物的影响||9,685,151.01|11,146,306.86
五、现金及现金等价物净增加额||7,998,854,589.23|-1,486,185,190.77
加：期初现金及现金等价物余额||19,036,381,672.48|20,522,566,863.25
六、期末现金及现金等价物余额|六、57|27,035,236,261.71|19,036,381,672.48
