page|136
项             目|附注|2019 年 12 月 31 日|2018 年 12 月 31 日
流动资产：|||
货币资金|六、1|27,597,505,747.29|19,124,395,900.00
交易性金融资产|六、2|51,902,900.00|0.00
以公允价值计量且其变动计入当期损益的金融资产|||
衍生金融资产|||
应收票据|||
应收账款|六、3|323,156,871.58|483,796,838.92
应收款项融资|||
预付款项|六、4|882,172,328.94|265,925,444.05
其他应收款|六、5|24,428,414,441.92|26,643,446,225.21
其中：应收利息|六、5.1|1,849,878.57|48,162,035.26
应收股利|||
存货|六、6|75,768,323,563.57|58,899,443,772.60
合同资产|||
持有待售资产|||
一年内到期的非流动资产|六、7|0.00|1,397,145,000.00
其他流动资产|六、8|4,728,036,682.76|3,968,217,141.99
流动资产合计||133,779,512,536.06|110,782,370,322.77
非流动资产：|||
债权投资|||
可供出售金融资产||0.00|111,427,970.00
其他债权投资|||
持有至到期投资|||
长期应收款|六、9|0.00|159,020,651.70
长期股权投资|六、10|11,305,133,352.83|9,828,439,915.32
其他权益工具投资|||
其他非流动金融资产|六、11|74,237,644.01|509,674.01
投资性房地产|六、12|28,372,747,927.71|32,476,358,249.98
固定资产|六、13|4,223,926,902.46|3,669,308,660.19
在建工程|六、14|1,409,387.00|121,842,576.48
使用权资产|六、15|157,474,135.83|0.00
无形资产|六、16|1,892,792,820.85|765,409,250.09
开发支出|||
商誉|六、17|305,214,299.04|386,762,035.76
长期待摊费用|六、18|61,714,730.96|68,638,043.21
递延所得税资产|六、19|2,074,663,479.04|1,604,089,125.57
其他非流动资产|六、20|933,739,168.35|404,114,035.08
非流动资产合计||49,403,053,848.08|49,595,920,187.39
资产总计||183,182,566,384.14|160,378,290,510.16
page|137
项             目|附注|2019 年 12 月 31 日|2018 年 12 月 31 日
流动负债：|||
短期借款|六、21|3,196,114,096.93|3,313,682,162.74
交易性金融负债|||
以公允价值计量且其变动计入当期损益的金融负债|||
应付票据|六、22|0.00|2,140,917.00
应付账款|六、23|10,951,444,916.42|10,822,140,482.38
预收款项|六、24|29,775,232,514.09|22,612,263,852.37
合同负债|六、25|7,781,447,545.78|6,978,376,005.68
应付职工薪酬|六、26|591,220,352.82|541,119,006.20
应交税费|六、27|6,177,385,046.27|4,710,985,176.11
其他应付款|六、28|12,773,081,568.98|11,822,892,067.13
其中：应付利息|六、28.1|383,599,534.65|344,501,680.49
应付股利|六、28.2|399,446,538.40|463,395,188.76
持有待售负债|||
一年内到期的非流动负债|六、29|13,590,868,668.05|12,539,766,574.51
其他流动负债|||
流动负债合计||84,836,794,709.34|73,343,366,244.12
非流动负债：|||
长期借款|六、30|45,378,313,055.84|38,998,122,131.60
应付债券|六、31|6,975,333,382.79|7,516,663,548.59
租赁负债|六、32|147,542,406.48|0.00
长期应付款|六、33|0.00|1,425,000,000.00
长期应付职工薪酬|||
预计负债|六、34|43,159,798.40|21,918,633.77
递延收益|六、35|1,289,285,886.61|1,306,172,606.77
递延所得税负债|六、19|678,953,614.57|1,025,664,254.73
其他非流动负债|六、36|1,292,143,123.14|1,035,741,180.01
非流动负债合计||55,804,731,267.83|51,329,282,355.47
负 债 合 计||140,641,525,977.17|124,672,648,599.59
股东权益：|||
股本|六、37|4,286,313,339.00|1,813,731,596.00
其他权益工具|||
资本公积|六、38|7,731,008,781.73|8,163,001,910.35
减：库存股|||
其他综合收益|六、39|-180,104,437.90|-151,865,183.63
专项储备|||
盈余公积|六、40|1,191,907,996.26|1,179,679,445.78
未分配利润|六、41|6,381,851,588.59|4,447,473,059.08
归属于母公司股东权益合计||19,410,977,267.68|15,452,020,827.58
少数股东权益||23,130,063,139.29|20,253,621,082.99
股东权益合计||42,541,040,406.97|35,705,641,910.57
负债和股东权益总计||183,182,566,384.14|160,378,290,510.16
page|138
项             目|附注|2019 年度|2018 年度
