page|138
项             目|附注|2019 年度|2018 年度
一、营业总收入||33,786,623,201.85|22,168,629,906.05
其中:营业收入|六、42|33,786,623,201.85|22,168,629,906.05
二、营业总成本||28,100,011,964.92|17,603,424,994.04
其中：营业成本|六、42|19,866,037,324.07|11,954,123,393.78
税金及附加|六、43|3,638,389,243.98|2,386,131,117.38
销售费用|六、44|1,344,234,420.18|1,130,823,194.95
管理费用|六、45|1,592,773,180.28|1,447,539,958.13
研发费用|||
财务费用|六、46|1,658,577,796.41|684,807,329.80
其中：利息费用||2,559,164,520.02|1,875,590,893.31
利息收入||1,058,936,735.34|1,304,043,973.77
加：其他收益|六、47|26,690,229.70|18,066,452.40
投资收益（损失以“－”号填列）|六、48|496,631,473.94|846,667,139.91
其中：对联营企业和合营企业的投资收益||-958,216,021.01|-481,090,536.45
以摊余成本计量的金融资产终止确认收益（损失以“-”号填列）|||
汇兑收益（损失以“-”号填列）|||
净敞口套期收益（损失以“—”号填列）|||
公允价值变动收益（损失以“－”号填列）|六、49|-15,010,246.13|0.00
信用减值损失（损失以“-”号填列）|六、50|41,110,744.22|-8,214,249.28
资产减值损失（损失以“-”号填列）|六、51|-237,531,855.39|-231,420,285.66
资产处置收益（损失以“-”号填列）|六、52|641,997.12|8,187,604.32
三、营业利润（亏损以“－”号填列）||5,999,143,580.39|5,198,491,573.70
加：营业外收入|六、53|100,320,979.35|57,236,602.83
减：营业外支出|六、54|94,151,642.75|162,326,250.72
四、利润总额（亏损总额以“－”号填列）||6,005,312,916.99|5,093,401,925.81
减：所得税费用|六、55|2,299,949,441.94|1,519,190,783.93
五、净利润（净亏损以“－”号填列）||3,705,363,475.05|3,574,211,141.88
（一）按经营持续性分类||3,705,363,475.05|3,574,211,141.88
1.持续经营净利润（净亏损以“-”号填列）||3,705,363,475.05|3,574,211,141.88
2.终止经营净利润（净亏损以“-”号填列）|||
（二）按所有权归属分类||3,705,363,475.05|3,574,211,141.88
1.归属于母公司所有者的净利润（净亏损以“-”号填列）||2,378,452,817.17|2,063,396,555.86
2.少数股东损益（净亏损以“-”号填列）||1,326,910,657.88|1,510,814,586.02
六、其他综合收益的税后净额||-52,039,452.78|-231,126,728.97
归属母公司所有者的其他综合收益的税后净额||-28,239,254.27|-155,734,852.32
（一）不能重分类进损益的其他综合收益|||
1.重新计量设定受益计划变动额|||
2.权益法下不能转损益的其他综合收益|||
3.其他权益工具投资公允价值变动|||
4.企业自身信用风险公允价值变动|||
5.其他|||
（二）将重分类进损益的其他综合收益||-28,239,254.27|-155,734,852.32
1.权益法下可转损益的其他综合收益|||
2.其他债权投资公允价值变动|||
3.可供出售金融资产公允价值变动损益|||
4.金融资产重分类计入其他综合收益的金额|||
5.持有至到期投资重分类为可供出售金融资产损益|||
6.其他债权投资信用减值准备|||
7.现金流量套期储备（现金流量套期损益的有效部分）||31,931,049.90|-1,028,065.53
8.外币财务报表折算差额||-60,170,304.17|-154,706,786.79
9.其他|||
归属于少数股东的其他综合收益的税后净额||-23,800,198.51|-75,391,876.65
七、综合收益总额||3,653,324,022.27|3,343,084,412.91
归属于母公司股东的综合收益总额||2,350,213,562.90|1,907,661,703.54
归属于少数股东的综合收益总额||1,303,110,459.37|1,435,422,709.37
八、每股收益：|||
（一）基本每股收益（元/股）|十八、2|0.61|0.53
（二）稀释每股收益（元/股）|十八、2|0.61|0.53
