page|62
项目|附注五|2020年度|2019年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||563,726,767.73|580,891,533.20
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
page|63
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||733,213.37|495,947.28
|收到其他与经营活动有关的现金  （七十九）|14,144,271.05|13,052,927.64
经营活动现金流入小计||578,604,252.15|594,440,408.12
购买商品、接受劳务支付的现金||195,863,064.99|182,700,373.86
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||224,032,455.63|226,838,737.93
支付的各项税费||33,882,523.86|34,794,773.55
|支付其他与经营活动有关的现金  （七十九）|33,274,311.21|41,065,329.62
经营活动现金流出小计||487,052,355.69|485,399,214.96
经营活动产生的现金流量净额||91,551,896.46|109,041,193.16
二、投资活动产生的现金流量：|||
收回投资收到的现金|||
取得投资收益收到的现金|||
处置固定资产、无形资产和其他长期资产收回的现金净额||336.71|872.23
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|||
投资活动现金流入小计||336.71|872.23
购建固定资产、无形资产和其他长期资产支付的现金||442,664.13|1,161,623.87
投资支付的现金|||
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|||
投资活动现金流出小计||442,664.13|1,161,623.87
投资活动产生的现金流量净额||-442,327.42|-1,160,751.64
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金||51,000,000.00|65,920,000.00
收到其他与筹资活动有关的现金|||
筹资活动现金流入小计||51,000,000.00|65,920,000.00
偿还债务支付的现金||60,500,000.00|61,000,000.00
分配股利、利润或偿付利息支付的现金||22,371,104.92|24,136,628.55
其中：子公司支付给少数股东的股|||
page|64
利、利润|||
支付其他与筹资活动有关的现金|||
筹资活动现金流出小计||82,871,104.92|85,136,628.55
筹资活动产生的现金流量净额||-31,871,104.92|-19,216,628.55
四、汇率变动对现金及现金等价物的影响||-9,033.84|3,055.45
五、现金及现金等价物净增加额||59,229,430.28|88,666,868.42
加：期初现金及现金等价物余额||284,950,255.36|196,283,386.94
六、期末现金及现金等价物余额||344,179,685.64|284,950,255.36
