page|72
项目|附注|2019 年度|2018 年度
一、营业总收入|七、61|11,959,630,452.70|21,412,608,494.98
其中：营业收入||11,959,630,452.70|21,412,608,494.98
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本|七、61|11,907,960,687.53|21,139,908,143.40
其中：营业成本||11,456,121,759.45|20,309,911,824.70
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|七、62|27,538,679.98|88,358,194.19
page|73
销售费用|七、63|54,478,111.94|60,639,609.22
管理费用|七、64|185,776,061.83|167,067,125.69
研发费用|七、65|94,593,266.88|209,595,591.49
财务费用|七、66|89,452,807.45|304,335,798.11
其中：利息费用||117,102,268.31|273,064,536.81
利息收入||39,372,324.24|18,808,346.70
加：其他收益|七、67|2,359,108.12|7,741,081.17
投资收益（损失以“－”号填列）|七、68|408,634,654.72|220,851,698.44
其中：对联营企业和合营企业的投资收益||9,148,804.66|24,415,236.90
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|||22,359,607.63
信用减值损失（损失以“-”号填列）|七、71|3,461,955.30|
资产减值损失（损失以“-”号填列）|七、72|-13,265,087.47|-13,161,714.24
资产处置收益（损失以“－”号填列）|七、73|1,271,345.87|-1,027,744.29
三、营业利润（亏损以“－”号填列||454,131,741.71|509,463,280.29
加：营业外收入|七、74|42,507,950.28|1,574,228.81
减：营业外支出|七、75|1,998,455.21|11,681,621.27
四、利润总额（亏损总额以“－”号填列）||494,641,236.78|499,355,887.83
减：所得税费用|七、76|57,712,295.80|83,224,279.07
五、净利润（净亏损以“－”号填列）||436,928,940.98|416,131,608.76
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||519,966,441.37|203,794,078.97
2.终止经营净利润（净亏损以“－”号填列）||-83,037,500.39|212,337,529.79
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||477,883,450.79|307,131,502.75
2.少数股东损益（净亏损以“-”号填列）||-40,954,509.81|109,000,106.01
六、其他综合收益的税后净额|七、77|-21,485,728.53|9,223,615.12
（一）归属母公司所有者的其他综合收益的税后净额||-21,485,728.53|9,223,615.12
1．不能重分类进损益的其他综合收益||-8,044,537.79|
（1）重新计量设定受益计划变动额|||
page|74
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动||-8,044,537.79|
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益||-13,441,190.74|9,223,615.12
（1）权益法下可转损益的其他综合收益||-13,466,983.26|22,693,984.55
（2）其他债权投资公允价值变动|||
（3）可供出售金融资产公允价值变动损益|||-13,465,331.20
（4）金融资产重分类计入其他综合收益的金额|||
（5）持有至到期投资重分类为可供出售金融资产损益|||
（6）其他债权投资信用减值准备|||
（7）现金流量套期储备（现金流量套期损益的有效部分）|||
（8）外币财务报表折算差额||25,792.52|-5,038.23
（9）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||415,443,212.45|425,355,223.88
（一）归属于母公司所有者的综合收益总额||456,397,722.26|316,355,117.87
（二）归属于少数股东的综合收益总额||-40,954,509.81|109,000,106.01
八、每股收益：|||
（一）基本每股收益(元/股)||1.01|0.66
（二）稀释每股收益(元/股)||1.01|0.66
