page|68
项目|附注五|2020年度|2019年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||5,103,301,608.20|5,686,760,018.56
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||20,821,288.49|1,893,978.32
收到其他与经营活动有关的现金|（七十九）|177,412,194.32|175,162,175.00
经营活动现金流入小计||5,301,535,091.01|5,863,816,171.88
购买商品、接受劳务支付的现金||3,884,517,640.72|4,501,319,830.35
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||514,232,752.73|532,831,249.39
支付的各项税费||148,818,570.97|170,389,286.31
page|69
支付其他与经营活动有关的现金|（七十九）|288,659,646.10|355,450,755.91
经营活动现金流出小计||4,836,228,610.52|5,559,991,121.96
经营活动产生的现金流量净额||465,306,480.49|303,825,049.92
二、投资活动产生的现金流量：|||
收回投资收到的现金||708,500,000.00|807,702,160.00
取得投资收益收到的现金||46,467,991.55|38,151,429.84
处置固定资产、无形资产和其他长期资产收回的现金净额||2,520,232.00|6,454,192.62
处置子公司及其他营业单位收到的现金净额||3,392,553.57|
收到其他与投资活动有关的现金|||
投资活动现金流入小计||760,880,777.12|852,307,782.46
购建固定资产、无形资产和其他长期资产支付的现金||66,627,890.82|28,497,582.50
投资支付的现金||1,320,000,000.00|1,112,148,382.05
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|||
投资活动现金流出小计||1,386,627,890.82|1,140,645,964.55
投资活动产生的现金流量净额||-625,747,113.70|-288,338,182.09
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||26,090,000.00|100,000.00
其中：子公司吸收少数股东投资收到的现金||26,090,000.00|100,000.00
取得借款收到的现金||25,000,000.00|
收到其他与筹资活动有关的现金|（七十九）||11,500,000.00
筹资活动现金流入小计||51,090,000.00|11,600,000.00
偿还债务支付的现金|||
分配股利、利润或偿付利息支付的现金||97,370,365.36|102,337,028.40
其中：子公司支付给少数股东的股利、利润||23,515,998.79|19,604,607.94
支付其他与筹资活动有关的现金|||
筹资活动现金流出小计||97,370,365.36|102,337,028.40
筹资活动产生的现金流量净额||-46,280,365.36|-90,737,028.40
四、汇率变动对现金及现金等价物的影响||325,767.91|176,958.42
五、现金及现金等价物净增加额||-206,395,230.66|-75,073,202.15
加：期初现金及现金等价物余额||2,560,637,215.71|2,635,710,417.86
六、期末现金及现金等价物余额||2,354,241,985.05|2,560,637,215.71
