page|64
项目|附注五|2020 年度|2019 年度
一、营业总收入||4,589,218,681.63|4,889,124,109.96
其中：营业收入|（六十一）|4,589,218,681.63|4,889,124,109.96
利息收入|||
已赚保费|||
page|65
手续费及佣金收入|||
二、营业总成本||4,363,193,743.71|4,665,185,243.12
其中：营业成本|（六十一）|3,715,809,624.20|3,965,572,662.46
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|（六十二）|20,223,709.84|14,972,900.31
销售费用|（六十三）|167,274,814.75|156,783,006.07
管理费用|（六十四）|225,114,782.94|265,124,356.42
研发费用|（六十五）|299,107,746.47|329,255,036.64
财务费用|（六十六）|-64,336,934.49|-66,522,718.78
其中：利息费用|||755,069.86
利息收入||65,749,672.87|68,925,821.61
加：其他收益|（六十七）|41,005,753.25|43,034,960.18
投资收益（损失以“－”号填列）|（六十八）|51,831,897.72|69,568,258.11
其中：对联营企业和合营企业的投资收益||32,482,167.59|28,773,174.65
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|（七十）|7,050,184.13|5,561,506.84
信用减值损失（损失以“-”号填列）|（七十一）|-22,951,902.19|-31,655,779.04
资产减值损失（损失以“-”号填列）|（七十二）|426,216.39|-6,686,753.64
资产处置收益（损失以“－”号填列）|（七十三）|-1,503,346.21|44,280.93
三、营业利润（亏损以“－”号填列）||301,883,741.01|303,805,340.22
加：营业外收入|（七十四）|19,702,079.75|11,495,795.68
减：营业外支出|（七十五）|4,583,483.18|774,237.71
page|66
四、利润总额（亏损总额以“－”号填列）||317,002,337.58|314,526,898.19
减：所得税费用|（七十六）|28,281,384.76|35,787,438.19
五、净利润（净亏损以“－”号填列）||288,720,952.82|278,739,460.00
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||288,720,952.82|278,739,460.00
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||248,655,432.17|241,790,818.42
2.少数股东损益（净亏损以“-”号填列）||40,065,520.65|36,948,641.58
六、其他综合收益的税后净额||-297,424.18|
（一）归属母公司所有者的其他综合收益的税后净额||-297,424.18|
1．不能重分类进损益的其他综合收益|||
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|||
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益||-297,424.18|
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额||-297,424.18|
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||288,423,528.64|278,739,460.00
（一）归属于母公司所有者的综合收益总额||248,358,007.99|241,790,818.42
（二）归属于少数股东的综合收益总额||40,065,520.65|36,948,641.58
八、每股收益：|||
（一）基本每股收益(元/股)|（七十八）|0.182|0.177
page|67
（二）稀释每股收益(元/股)|（七十八）|0.182|0.177
