page|59
项目|附注|2020 年度|2019 年度
一、营业总收入||7,855,038,369.93|5,414,021,975.86
其中：营业收入|七、38|7,855,038,369.93|5,414,021,975.86
利息收入|||
page|60
已赚保费|||
手续费及佣金收入|||
二、营业总成本||5,229,976,101.80|3,936,749,334.63
其中：营业成本|七、38|4,391,049,320.56|3,369,400,383.40
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|七、39|72,111,289.53|51,932,561.05
销售费用|七、40|106,886,801.42|111,300,360.60
管理费用|七、41|199,950,201.51|193,157,133.83
研发费用|七、42|308,639,192.72|242,038,260.51
财务费用|七、43|151,339,296.06|-31,079,364.76
其中：利息费用||44,104,910.61|55,925,448.16
利息收入||50,185,017.55|53,426,125.46
加：其他收益|七、44|60,819,499.64|53,174,719.75
投资收益（损失以“－”号填列）|七、45|10,644,732.30|8,640,620.99
其中：对联营企业和合营企业的投资收益|||
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|||
信用减值损失（损失以“-”号填列）|七、46|-37,046,006.62|-18,341,225.33
资产减值损失（损失以“-”号填列）|七、47|-52,533,100.54|-33,229,887.77
资产处置收益（损失以“－”号填列）|七、48|-774,084.77|-1,007,642.39
三、营业利润（亏损以“－”号填列）||2,606,173,308.14|1,486,509,226.48
加：营业外收入|七、49|4,653,492.35|7,188,815.22
减：营业外支出|七、50|1,714,023.24|873,602.85
四、利润总额（亏损总额以“－”号填列）||2,609,112,777.25|1,492,824,438.85
减：所得税费用|七、51|347,864,216.90|194,674,388.24
五、净利润（净亏损以“－”号填列）||2,261,248,560.35|1,298,150,050.61
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||2,261,248,560.35|1,298,150,050.61
page|61
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||2,253,874,553.32|1,296,199,825.84
2.少数股东损益（净亏损以“-”号填列）||7,374,007.03|1,950,224.77
六、其他综合收益的税后净额||-870,936.82|1,603,763.48
（一）归属母公司所有者的其他综合收益的税后净额||-870,936.82|1,603,763.48
1．不能重分类进损益的其他综合收益|||
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|||
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益||-870,936.82|1,603,763.48
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额||-870,936.82|1,603,763.48
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||2,260,377,623.53|1,299,753,814.09
（一）归属于母公司所有者的综合收益总额||2,253,003,616.50|1,297,803,589.32
（二）归属于少数股东的综合收益总额||7,374,007.03|1,950,224.77
八、每股收益：|||
（一）基本每股收益(元/股)||1.73|0.99
（二）稀释每股收益(元/股)||1.73|0.99
