page|89
项目|附注五|2020 年度|2019 年度
一、营业总收入||28,959,198,513|31,135,149,996
其中：营业收入|43|28,959,198,513|31,135,149,996
二、营业总成本||25,029,952,925|27,961,334,412
其中：营业成本|43|22,284,357,348|25,291,543,411
税金及附加|44|33,883,905|59,311,837
销售费用|45|28,626,353|34,240,841
管理费用|46|655,151,542|704,177,117
研发费用||769,253,295|932,656,023
财务费用|47|1,258,680,482|939,405,183
其中：利息费用||888,127,048|1,071,874,123
page|90
利息收入||69,643,563|67,521,240
加：其他收益||210,374,695|262,509,092
投资收益（损失以“－”号填列）|48|481,092,188|538,665,791
其中：对联营企业和合营企业的投资收益||364,917,450|320,452,032
公允价值变动收益（损失以“－”号填列）||26,571,868|-38,829,341
信用减值损失（损失以“-”号填列）|49|-7,778,080|-316,323,567
资产减值损失（损失以“-”号填列）|50|-1,469,815,813|-247,640,323
资产处置收益（损失以“－”号填列）|51|2,929,562|75,206,761
三、营业利润（亏损以“－”号填列）||3,172,620,008|3,447,403,997
加：营业外收入|52|291,971,222|205,502,109
减：营业外支出|53|85,851,340|180,732,039
四、利润总额（亏损总额以“－”号填列）||3,378,739,890|3,472,174,067
减：所得税费用|54|660,424,286|944,158,798
五、净利润（净亏损以“－”号填列）||2,718,315,604|2,528,015,269
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||2,718,315,604|2,528,015,269
2.终止经营净利润（净亏损以“－”号填列）||0|0
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||2,703,186,710|2,502,238,023
2.少数股东损益（净亏损以“-”号填列）||15,128,894|25,777,246
六、其他综合收益的税后净额|56|-176,330,538|44,579,969
（一）归属母公司股东的其他综合收益的税后净额||-163,993,815|41,801,371
1．不能重分类进损益的其他综合收益||0|-1,378,783
（1）重新计量设定受益计划变动额||0|-1,378,783
2．将重分类进损益的其他综合收益||-163,993,815|43,180,154
（1）权益法下可转损益的其他综合收益||-12,112,126|7,157,018
（2）外币财务报表折算差额||-151,881,689|36,023,136
（二）归属于少数股东的其他综合收益的税后净额||-12,336,723|2,778,598
七、综合收益总额||2,541,985,066|2,572,595,238
（一）归属于母公司股东的综合收益总额||2,539,192,895|2,544,039,394
（二）归属于少数股东的综合收益总额||2,792,171|28,555,844
八、每股收益：|||
（一）基本每股收益(元/股)|55|0.5665|0.5244
page|91
项目|附注五|2020年度|2019年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||29,953,355,829|30,634,446,980
收到合同终止和解款项|43(注 3)|1,309,561,000|0
取得政府补助及补贴||70,801,998|89,781,236
收到的税费返还||135,737,804|88,266,318
经营活动现金流入小计||31,469,456,631|30,812,494,534
购买商品、接受劳务支付的现金||16,153,595,488|15,288,786,687
支付给职工以及为职工支付的现金||5,148,029,776|5,740,838,225
支付的各项税费||1,794,771,246|1,979,874,936
支付的其他与经营活动有关的现金|57|827,812,816|834,653,510
经营活动现金流出小计||23,924,209,326|23,844,153,358
经营活动产生的现金流量净额|58|7,545,247,305|6,968,341,176
二、投资活动产生的现金流量：|||
收回投资所收到的现金||9,500,000,000|12,141,522,958
取得投资收益收到的现金||343,878,395|411,173,899
取得存款利息收入所收到的现金||69,641,016|69,414,149
