page|91
项目|附注五|2020年度|2019年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||29,953,355,829|30,634,446,980
收到合同终止和解款项|43(注 3)|1,309,561,000|0
取得政府补助及补贴||70,801,998|89,781,236
收到的税费返还||135,737,804|88,266,318
经营活动现金流入小计||31,469,456,631|30,812,494,534
购买商品、接受劳务支付的现金||16,153,595,488|15,288,786,687
支付给职工以及为职工支付的现金||5,148,029,776|5,740,838,225
支付的各项税费||1,794,771,246|1,979,874,936
支付的其他与经营活动有关的现金|57|827,812,816|834,653,510
经营活动现金流出小计||23,924,209,326|23,844,153,358
经营活动产生的现金流量净额|58|7,545,247,305|6,968,341,176
二、投资活动产生的现金流量：|||
收回投资所收到的现金||9,500,000,000|12,141,522,958
取得投资收益收到的现金||343,878,395|411,173,899
取得存款利息收入所收到的现金||69,641,016|69,414,149
page|92
处置固定资产、无形资产和其他长期资产收回的现金||8,086,540|25,702,619
投资活动现金流入小计||9,921,605,951|12,647,813,625
购建固定资产、无形资产和其他长期资产所支付的现金||4,181,899,316|3,002,293,738
取得其他投资所支付的现金||9,000,000,000|10,800,000,000
对联营公司投资支付的现金净额||83,200,000|0
投资活动现金流出小计||13,265,099,316|13,802,293,738
投资活动产生的现金流量净额||-3,343,493,365|-1,154,480,113
三、筹资活动产生的现金流量：|||
取得借款收到的现金||0|1,017,120,000
发行债券收到的现金||5,613,680,353|0
筹资活动现金流入小计||5,613,680,353|1,017,120,000
偿还债务所支付的现金||4,654,252,573|5,237,045,866
分配股利所支付的现金||763,454,720|334,011,440
偿还利息所支付的现金||923,024,924|1,097,824,214
筹资活动现金流出小计||6,340,732,217|6,668,881,520
筹资活动产生的现金流量净额||-727,051,864|-5,651,761,520
四、汇率变动对现金及现金等价物的影响||-254,548,552|31,879,859
五、现金及现金等价物净增加（减少）额||3,220,153,524|193,979,402
加：期初现金及现金等价物余额||3,363,588,770|3,169,609,368
六、期末现金及现金等价物余额|58|6,583,742,294|3,363,588,770
