page|87
项目|附注五|2020 年 12 月 31 日|2019 年 12 月 31 日
流动资产：|||
货币资金|1|6,587,401,135|3,465,791,173
交易性金融资产|2|5,539,401,918|4,511,248,067
应收票据|3|10,049,897|44,244,578
应收账款|4|10,212,211,594|10,305,533,467
应收款项融资|5|3,010,427|40,580,000
预付款项|6|105,257,466|132,787,929
其他应收款|7|153,981,482|265,183,486
存货|8|2,265,271,991|1,424,673,901
合同资产|9|320,396,536|262,594,465
一年内到期的非流动资产|10|1,035,589,152|45,086,312
其他流动资产|11|90,178,065|2,531,931,751
流动资产合计||26,322,749,663|23,029,655,129
非流动资产：|||
债权投资|12|0|0
长期股权投资|13|1,102,007,860|880,583,152
其他非流动金融资产|14|0|0
固定资产|15|42,087,287,709|46,852,986,210
在建工程|16|3,148,313,471|1,913,743,081
使用权资产|17|562,016,302|987,133,655
无形资产|18|379,738,701|406,142,627
开发支出|19|155,891,248|150,336,420
商誉|20|0|0
长期待摊费用|21|1,682,217,446|1,450,301,983
递延所得税资产|22|158,779,848|92,468,008
其他非流动资产|23|343,304,744|338,487,906
非流动资产合计||49,619,557,329|53,072,183,042
资产总计||75,942,306,992|76,101,838,171
流动负债：|||
短期借款|24|2,284,335,676|2,443,946,195
应付票据||0|3,466,634
应付账款|25|8,846,957,755|9,690,152,749
合同负债|26|388,143,913|255,305,683
应付职工薪酬|27|820,138,437|979,228,368
应交税费|28|458,408,575|934,648,993
其他应付款|29|235,638,298|254,003,703
一年内到期的非流动负债|30|3,507,952,499|5,016,855,358
其他流动负债|31|334,348,234|251,212,893
流动负债合计||16,875,923,387|19,828,820,576
非流动负债：|||
长期借款|32|191,145,690|201,049,392
page|88
应付债券|33|19,455,678,032|17,928,478,300
租赁负债|34|366,303,229|547,571,865
长期应付款|35|0|28,686,581
递延收益|36|278,486,671|401,554,262
递延所得税负债|22|24,905,704|62,654,805
其他非流动负债|37|61,056,709|192,745,166
非流动负债合计||20,377,576,035|19,362,740,371
负债合计||37,253,499,422|39,191,560,947
股东权益：|||
股本|38|4,771,592,000|4,771,592,000
资本公积|39|12,366,274,941|12,366,274,941
其他综合收益|40|-256,471,721|-108,680,691
盈余公积|41|2,508,655,960|2,508,655,960
未分配利润|42|19,119,878,393|17,196,349,188
归属于母公司股东权益合计||38,509,929,573|36,734,191,398
少数股东权益||178,877,997|176,085,826
股东权益合计||38,688,807,570|36,910,277,224
负债和股东权益总计||75,942,306,992|76,101,838,171
