page|101
国药集团一致药业股份有限公司|||
合并现金流量表|||
2020年度                                                                                                                                    人民币元|||
|附注五|2020 年|2019 年
一、  经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||61,701,348,065.17|56,622,085,083.65
收到的税费返还||13,720,143.80|14,595,925.20
收到其他与经营活动有关的现金|60|1,697,383,795.18|769,560,639.30
经营活动现金流入小计||63,412,452,004.15|57,406,241,648.15
购买商品、接受劳务支付的现金||56,018,201,099.73|50,596,329,425.99
支付给职工以及为职工支付的现金||2,708,413,782.73|2,282,454,444.09
支付的各项税费||1,512,079,139.15|1,292,447,071.15
支付其他与经营活动有关的现金|60|1,671,011,384.07|1,222,357,517.18
经营活动现金流出小计||61,909,705,405.68|55,393,588,458.41
经营活动产生的现金流量净额|61|1,502,746,598.47|2,012,653,189.74
二、 投资活动产生的现金流量：|||
收回投资收到的现金||19,027,649.76|-
取得投资收益收到的现金||160,164,584.49|151,841,842.08
处置固定资产、无形资产和其他长期资|||
产收回的现金净额||8,570,072.79|5,309,788.13
处置子公司及其他营业单位收到的现金|||
净额|61|-|791,464.76
收到其他与投资活动有关的现金|60|24,051,674.67|481,988,480.07
投资活动现金流入小计||211,813,981.71|639,931,575.04
购建固定资产、无形资产和其他长期资|||
产支付的现金||293,826,061.63|251,856,027.38
投资支付的现金||50,117,666.41|56,001,023.17
取得子公司及其他营业单位支付的现金|||
净额|61|2,646,097,210.38|97,801,928.16
支付其他与投资活动有关的现金|60|5,002,197.26|455,397,750.74
投资活动现金流出小计||2,995,043,135.68|861,056,729.45
投资活动产生的现金流量净额||(2,783,229,153.97)|(221,125,154.41)
page|102
|附注五|2020 年|2019 年
三、 筹资活动产生的现金流量：|||
吸收投资收到的现金||5,700,000.00|46,093,966.84
其中：子公司吸收少数股东投资收到|||
的现金||5,700,000.00|46,093,966.84
取得借款所收到的现金||801,520,037.57|171,786,182.96
收到其他与筹资活动有关的现金|60|359,332,475.63|249,305,768.12
筹资活动现金流入小计||1,166,552,513.20|467,185,917.92
偿还债务支付的现金||427,347,200.00|215,846,808.49
分配股利、利润或偿付利息支付的现金||613,704,450.41|532,883,488.76
其中：子公司支付给少数股东的股|||
利、利润||63,799,218.94|39,827,223.10
支付其他与筹资活动有关的现金|60|1,865,923,680.60|718,672,829.88
筹资活动现金流出小计||2,906,975,331.01|1,467,403,127.13
筹资活动产生的现金流量净额||(1,740,422,817.81)|(1,000,217,209.21)
