page|107
项目|附注五|本期金额|上期金额
一、营业总收入||6,586,780,685.31|4,781,798,712.79
其中：营业收入|（四十二）|6,586,780,685.31|4,781,798,712.79
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||6,081,781,617.46|4,344,651,892.09
其中：营业成本|（四十二）|4,814,318,812.28|3,056,168,848.40
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|（四十三）|63,244,584.92|54,488,167.96
销售费用|（四十四）|14,703,225.24|11,458,924.65
管理费用|（四十五）|771,523,094.55|831,049,990.05
研发费用|（四十六）|317,120,216.22|262,761,333.36
财务费用|（四十七）|100,871,684.25|128,724,627.67
其中：利息费用|（四十七）|66,108,378.03|78,639,436.52
利息收入|（四十七）|7,130,413.36|14,592,748.17
加：其他收益|（四十八）|32,598,239.62|47,877,274.79
投资收益（损失以“-”号填列）|（四十九）|37,113,807.70|28,970,613.32
其中：对联营企业和合营企业的投资收益|（四十九）|2,511,832.66|10,350,565.95
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“-”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“-”号填列）|（五十）|5,534,331.59|2,979,809.46
信用减值损失（损失以“-”号填列）|（五十一）|-48,737,063.33|2,763,265.31
资产减值损失（损失以“-”号填列）|（五十二）|-79,498,662.15|-295,445,860.35
资产处置收益（损失以“-”号填列）|（五十三）|-2,454,311.28|-2,005,437.86
三、营业利润（亏损以“-”号填列）||449,555,410.00|222,286,485.37
加：营业外收入|（五十四）|15,100,357.19|13,530,653.66
减：营业外支出|（五十五）|47,815,205.27|26,461,910.13
四、利润总额（亏损总额以“-”号填列）||416,840,561.92|209,355,228.90
减：所得税费用|（五十六）|93,854,425.08|75,766,394.68
五、净利润（净亏损以“-”号填列）||322,986,136.84|133,588,834.22
（一）按经营持续性分类|||
1．持续经营净利润（净亏损以“-”号填列）||322,986,136.84|133,588,834.22
2．终止经营净利润（净亏损以“-”号填列）|||
（二）按所有权归属分类|||
1．归属于母公司股东的净利润（净亏损以“-”号填列）||315,405,020.68|110,031,914.36
2．少数股东损益（净亏损以“-”号填列）||7,581,116.16|23,556,919.86
六、其他综合收益的税后净额||-1,763,253.62|3,817,578.31
归属于母公司所有者的其他综合收益的税后净额||-1,763,253.62|3,817,578.31
（一）不能重分类进损益的其他综合收益|||
1．重新计量设定受益计划变动额|||
2．权益法下不能转损益的其他综合收益|||
3．其他权益工具投资公允价值变动|||
4．企业自身信用风险公允价值变动|||
（二）将重分类进损益的其他综合收益||-1,763,253.62|3,817,578.31
1．权益法下可转损益的其他综合收益|||
2．其他债权投资公允价值变动|||
3．金融资产重分类计入其他综合收益的金额|||
4．其他债权投资信用减值准备|||
5．现金流量套期储备|||
6．外币财务报表折算差额||-1,763,253.62|3,817,578.31
7．其他|||
归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||321,222,883.22|137,406,412.53
归属于母公司所有者的综合收益总额||313,641,767.06|113,849,492.67
归属于少数股东的综合收益总额||7,581,116.16|23,556,919.86
八、每股收益：|||
（一）基本每股收益（元/股）||0.34|0.12
（二）稀释每股收益（元/股）||0.34|0.12
