page|109
项目|附注五|本期金额|上期金额
一、经营活动产生的现金流量|||
销售商品、提供劳务收到的现金||5,253,007,034.45|4,213,239,649.78
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||453,307,702.81|301,867,978.36
收到其他与经营活动有关的现金|（五十七）|62,421,826.52|131,020,747.60
经营活动现金流入小计||5,768,736,563.78|4,646,128,375.74
购买商品、接受劳务支付的现金||3,157,846,901.05|1,818,462,500.46
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工以及为职工支付的现金||1,132,236,144.99|868,351,630.38
支付的各项税费||297,545,222.46|204,620,639.80
支付其他与经营活动有关的现金|（五十七）|443,319,912.11|375,415,256.60
经营活动现金流出小计||5,030,948,180.61|3,266,850,027.24
经营活动产生的现金流量净额||737,788,383.17|1,379,278,348.50
二、投资活动产生的现金流量|||
收回投资收到的现金|||
取得投资收益收到的现金||12,000,000.00|6,150,000.00
处置固定资产、无形资产和其他长期资产收回的现金净额||2,336,501.63|114,942,291.36
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|（五十七）|114,834,197.26|20,676,047.37
投资活动现金流入小计||129,170,698.89|141,768,338.73
购建固定资产、无形资产和其他长期资产支付的现金||1,645,246,595.90|1,462,395,140.24
投资支付的现金|||15,000,000.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|（五十七）|20,000,000.00|
投资活动现金流出小计||1,665,246,595.90|1,477,395,140.24
投资活动产生的现金流量净额||-1,536,075,897.01|-1,335,626,801.51
三、筹资活动产生的现金流量|||
吸收投资收到的现金|||
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金||2,401,487,018.76|3,463,862,780.00
收到其他与筹资活动有关的现金|（五十七）|101,587,656.79|17,006,516.67
筹资活动现金流入小计||2,503,074,675.55|3,480,869,296.67
偿还债务支付的现金||1,434,272,810.00|3,574,790,880.00
分配股利、利润或偿付利息支付的现金||142,151,225.72|173,662,753.32
其中：子公司支付给少数股东的股利、利润||20,000,000.00|49,000,000.00
支付其他与筹资活动有关的现金|（五十七）|134,307,274.87|114,612,751.23
筹资活动现金流出小计||1,710,731,310.59|3,863,066,384.55
筹资活动产生的现金流量净额||792,343,364.96|-382,197,087.88
四、汇率变动对现金及现金等价物的影响||-17,667,323.69|-34,161,568.88
五、现金及现金等价物净增加额||-23,611,472.57|-372,707,109.77
加：期初现金及现金等价物余额||494,308,003.98|867,015,113.75
六、期末现金及现金等价物余额||470,696,531.41|494,308,003.98
