page|5
|第二节  公司简介和主要财务指标
一、  公司信息|
公司的中文名称|杭州联德精密机械股份有限公司
公司的中文简称|联德股份
公司的外文名称|Allied Machinery Co., Ltd.
公司的外文名称缩写|Allied Machinery
公司的法定代表人|孙袁
二、  联系人和联系方式|
|董事会秘书 证券事务代表
姓名 潘连彬|吕伊昆
联系地址|浙江省杭州经济技术开发区 18 号大浙江省杭州经济技术开发区 18
街 77 号|号大街 77 号
电话 0571-28939800 转 633|0571-28939800 转 633
传真 0571-28939801|0571-28939801
电子信箱|allied@allied-machinery.com allied@allied-machinery.com
三、 基本情况简介|
公司注册地址|浙江省杭州经济技术开发区18号大街77号
公司注册地址的历史变更情况|不适用
公司办公地址|浙江省杭州经济技术开发区18号大街77号
公司办公地址的邮政编码|310018
公司网址|http://www.allied-machinery.com/
电子信箱|allied@allied-machinery.com
四、 信息披露及备置地点|
公司披露年度报告的媒体名称及网址|中国证券报(www.cs.com.cn)、上海证券报
|(www.cnstock.com)、证券时报(www.stcn.com)、
|证券日报(www.zqrb.cn)
公司披露年度报告的证券交易所网址|www.sse.com.cn
公司年度报告备置地点|公司证券事务部
