page|59
项             目|附注|本期发生额|上期发生额
一、营业收入|五、（四十二）|4,043,550,073.62|3,820,829,826.34
减：营业成本|五、（四十二）|2,975,830,535.33|2,691,956,285.50
税金及附加|五、（四十三）|32,582,256.08|36,304,526.94
销售费用|五、（四十四）|437,701,444.76|467,204,363.56
管理费用|五、（四十五）|236,150,576.60|248,618,212.72
研发费用|五、（四十六）|174,809,629.13|128,507,129.47
财务费用|五、（四十七）|44,503,225.97|38,580,398.37
其中：利息费用||42,425,302.95|37,519,506.30
利息收入||24,893,579.40|11,859,627.03
加：其他收益|五、（四十八）|51,241,131.75|11,646,497.30
投资收益（损失以“－”号填列）|五、（四十九）|69,602,926.25|69,679,438.36
其中：对联营企业和合营企业的投资收益||26,673,393.95|27,878,080.92
以摊余成本计量的金融资产终止确认收益（损失以“－”号填列）|||
净敞口套期收益（损失以“－”号填列）|||
公允价值变动收益（损失以“－”号填列）|五、（五十）|6,216,313.51|265,687,187.08
信用减值损失（损失以“－”号填列）|五、（五十一）|3,333,922.20|-26,640,161.61
资产减值损失（损失以“－”号填列）|五、（五十二）|-18,686,346.94|-3,056,078.09
资产处置收益（损失以“－”号填列）|五、（五十三）|7,243,415.29|12,411,489.40
二、营业利润（亏损以“－”号填列）||260,923,767.81|539,387,282.22
加：营业外收入|五、（五十四）|5,173,394.81|5,961,302.58
减：营业外支出|五、（五十五）|2,733,390.18|4,395,550.53
三、利润总额（亏损总额以“－”号填列）||263,363,772.44|540,953,034.27
减：所得税费用|五、（五十六）|30,932,684.40|72,263,536.54
四、净利润（净亏损以“－”号填列）||232,431,088.04|468,689,497.73
（一）按经营持续性分类：|||
1.持续经营净利润（净亏损以“－”号填列）||232,431,088.04|468,689,497.73
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类：|||
1.归属于母公司股东的净利润（净亏损以“－”号填列）||222,513,894.57|455,052,649.43
2.少数股东损益（净亏损以“－”号填列）||9,917,193.47|13,636,848.30
五、其他综合收益的税后净额||295,524,646.90|46,564,863.81
（一）归属母公司股东的其他综合收益的税后净额||297,478,825.33|46,528,661.45
page|60
1.不能重分类进损益的其他综合收益||292,359,418.11|18,675,915.42
（1）重新计量设定受益计划变动额||-3,382,759.15|-590,323.60
（2）权益法下不能转损益的其他综合收益||2,275,668.87|
（3）其他权益工具投资公允价值变动||293,466,508.39|19,266,239.02
（4）企业自身信用风险公允价值变动|||
2.将重分类进损益的其他综合收益||5,119,407.22|27,852,746.03
（1）权益法下可转损益的其他综合收益||-389,356.29|169,671.92
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备（现金流量套期损益的有效部分）|||
（6）外币财务报表折算差额||5,508,763.51|27,683,074.11
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额||-1,954,178.43|36,202.36
六、综合收益总额||527,955,734.94|515,254,361.54
（一）归属于母公司股东的综合收益总额||519,992,719.90|501,581,310.88
（二）归属于少数股东的综合收益总额||7,963,015.04|13,673,050.66
七、每股收益|||
（一）基本每股收益|十五、（二）|0.30|0.68
（二）稀释每股收益||0.30|0.68
