page|62
项       目|附注|本期发生额|上期发生额
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||4,414,497,809.90|4,036,517,273.35
收到的税费返还||11,426,160.86|15,163,018.80
收到其他与经营活动有关的现金|五、（五十七）|115,680,373.08|23,560,106.70
经营活动现金流入小计||4,541,604,343.84|4,075,240,398.85
购买商品、接受劳务支付的现金||2,647,275,524.34|2,460,479,576.48
支付给职工以及为职工支付的现金||615,500,764.30|596,525,873.07
支付的各项税费||202,666,357.34|225,476,308.14
支付其他与经营活动有关的现金|五、（五十七）|547,161,343.38|408,644,159.57
经营活动现金流出小计||4,012,603,989.36|3,691,125,917.26
经营活动产生的现金流量净额||529,000,354.48|384,114,481.59
二、投资活动产生的现金流量：|||
收回投资收到的现金||5,504,531,378.91|3,371,181,057.68
取得投资收益收到的现金||59,158,234.11|99,347,847.36
处置固定资产、无形资产和其他长期资产收回的现金净额||31,117,954.36|18,921,259.31
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|||
投资活动现金流入小计||5,594,807,567.38|3,489,450,164.35
购建固定资产、无形资产和其他长期资产支付的现金||187,399,117.30|260,334,629.51
投资支付的现金||5,623,717,551.74|3,939,334,259.84
取得子公司及其他营业单位支付的现金净额||8,638,974.81|
支付其他与投资活动有关的现金|||
投资活动现金流出小计||5,819,755,643.85|4,199,668,889.35
投资活动产生的现金流量净额||-224,948,076.47|-710,218,725.00
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||12,331,400.00|513,011,511.95
其中：子公司吸收少数股东投资收到的现金||12,331,400.00|4,900,000.00
取得借款收到的现金||752,172,217.14|990,310,562.20
收到其他与筹资活动有关的现金||140,293,249.99|
筹资活动现金流入小计||904,796,867.13|1,503,322,074.15
偿还债务支付的现金||890,307,878.99|903,627,998.88
分配股利、利润或偿付利息支付的现金||85,629,141.32|60,709,799.35
其中：子公司支付给少数股东的股利、利润||1,960,000.00|
支付其他与筹资活动有关的现金|||
page|63
筹资活动现金流出小计||975,937,020.31|964,337,798.23
筹资活动产生的现金流量净额||-71,140,153.18|538,984,275.92
四、汇率变动对现金及现金等价物的影响||-13,986,235.47|10,675,881.25
五、现金及现金等价物净增加额||218,925,889.36|223,555,913.76
加：期初现金及现金等价物余额||1,174,333,984.81|950,778,071.05
六、期末现金及现金等价物余额||1,393,259,874.17|1,174,333,984.81
