page|87
项目|附注七|2021年度|2020年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||42,201,960,881.66|34,534,399,035.44
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||55,283,644.31|36,349,064.59
page|88
收到其他与经营活动有关的现金|78|876,219,066.04|675,203,166.58
经营活动现金流入小计||43,133,463,592.01|35,245,951,266.61
购买商品、接受劳务支付的现金||31,947,386,202.68|23,425,821,487.52
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||5,895,078,755.06|5,233,934,965.73
支付的各项税费||1,538,471,511.04|1,211,575,993.95
支付其他与经营活动有关的现金|78|1,118,998,298.50|1,231,804,635.82
经营活动现金流出小计||40,499,934,767.28|31,103,137,083.02
经营活动产生的现金流量净额||2,633,528,824.73|4,142,814,183.59
二、投资活动产生的现金流量：|||
收回投资收到的现金||10,846,577,866.43|1,951,172,057.21
取得投资收益收到的现金||266,020,612.17|205,545,484.72
处置固定资产、无形资产和其他长期资产收回的现金净额||66,288,691.63|8,889,099.14
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|||
投资活动现金流入小计||11,178,887,170.23|2,165,606,641.07
购建固定资产、无形资产和其他长期资产支付的现金||1,442,344,809.29|554,250,019.01
投资支付的现金||11,240,000,813.23|3,016,173,724.56
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|||
投资活动现金流出小计||12,682,345,622.52|3,570,423,743.57
投资活动产生的现金流量净额||-1,503,458,452.29|-1,404,817,102.50
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||26,593,000.00|115,728,425.00
其中：子公司吸收少数股东投资收到的现金||26,593,000.00|115,728,425.00
取得借款收到的现金||337,961,753.50|1,410,908,810.99
收到其他与筹资活动有关的现金|||
筹资活动现金流入小计||364,554,753.50|1,526,637,235.99
偿还债务支付的现金||1,039,329,466.54|1,848,238,137.28
分配股利、利润或偿付利息支付的现金||546,138,664.12|499,097,318.57
其中：子公司支付给少数股东的股利、利润||86,969,856.17|39,821,090.50
支付其他与筹资活动有关的现金|78|106,245,522.30|122,869,959.87
筹资活动现金流出小计||1,691,713,652.96|2,470,205,415.72
筹资活动产生的现金流量净额||-1,327,158,899.46|-943,568,179.73
四、汇率变动对现金及现金等价物的影响||-9,741,951.02|-35,461,976.64
五、现金及现金等价物净增加额||-206,830,478.04|1,758,966,924.72
加：期初现金及现金等价物余额||3,355,261,516.99|1,596,294,592.27
六、期末现金及现金等价物余额||3,148,431,038.95|3,355,261,516.99
