page|84
项目|附注七|2021 年度|2020 年度
一、营业总收入||38,739,302,609.21|33,208,279,836.46
其中：营业收入|61|38,739,302,609.21|33,208,279,836.46
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||36,592,783,481.17|31,564,842,475.57
其中：营业成本|61|33,624,462,881.79|28,863,925,969.14
利息支出|||
page|85
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|62|180,217,945.35|146,256,235.42
销售费用|63|227,410,517.38|223,265,444.02
管理费用|64|1,486,003,540.19|1,377,856,871.90
研发费用|65|1,040,598,624.88|855,285,753.50
财务费用|66|34,089,971.58|98,252,201.59
其中：利息费用||45,709,892.99|77,652,567.68
利息收入||31,771,316.76|24,003,366.00
加：其他收益|67|229,836,718.95|214,290,305.87
投资收益（损失以“－”号填列）|68|296,126,359.80|306,837,287.52
其中：对联营企业和合营企业的投资收益||239,833,219.92|267,524,801.54
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|69||
公允价值变动收益（损失以“－”号填列）|70|8,465,279.45|2,620,874.76
信用减值损失（损失以“-”号填列）|71|-9,613,908.81|-18,588,924.36
资产减值损失（损失以“-”号填列）|72|-740,010,161.55|-83,947,626.18
资产处置收益（损失以“－”号填列）|73|3,068,133.67|692,343.72
三、营业利润（亏损以“－”号填列）||1,934,391,549.55|2,065,341,622.22
加：营业外收入|74|46,990,498.67|80,423,636.69
减：营业外支出|75|61,617,148.24|47,845,094.64
四、利润总额（亏损总额以“－”号填列）||1,919,764,899.98|2,097,920,164.27
减：所得税费用|76|538,271,044.35|495,657,334.00
五、净利润（净亏损以“－”号填列）||1,381,493,855.63|1,602,262,830.27
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||1,381,493,855.63|1,602,262,830.27
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||1,283,507,083.83|1,521,590,346.75
2.少数股东损益（净亏损以“-”号填列）||97,986,771.80|80,672,483.52
六、其他综合收益的税后净额|77|-29,778,863.32|-153,856,681.91
（一）归属母公司所有者的其他综合收益的税后净额|77|-29,774,037.52|-153,851,090.11
1．不能重分类进损益的其他综合收益|77|6,600,938.99|-45,291,000.11
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|77|6,600,938.99|-45,291,000.11
（4）企业自身信用风险公允价值变动|||
page|86
2．将重分类进损益的其他综合收益|77|-36,374,976.51|-108,560,090.00
（1）权益法下可转损益的其他综合收益|77|-1,961,205.15|-4,937,060.73
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额|77|-34,413,771.36|-103,623,029.27
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额|77|-4,825.80|-5,591.80
七、综合收益总额||1,351,714,992.31|1,448,406,148.36
（一）归属于母公司所有者的综合收益总额||1,253,733,046.31|1,367,739,256.64
（二）归属于少数股东的综合收益总额||97,981,946.00|80,666,891.72
八、每股收益：|||
（一）基本每股收益(元/股)||0.13|0.15
（二）稀释每股收益(元/股)||0.13|0.15
