page|177
资产|附注五|2021 年 12 月 31 日|2020 年 12 月 31 日
流动资产|||
货币资金|1|126,821,154|187,997,046
交易性金融资产|2|460,063|587,022
应收票据|3|12,729,240|18,242,816
应收款项融资|4|2,475,096|3,683,653
应收账款|5|155,677,298|125,696,204
预付款项|6|25,533,462|24,316,491
其他应收款|7|63,786,446|66,383,081
存货|8|279,554,016|232,358,730
合同资产|9|196,315,628|165,030,475
一年内到期的非流动资产|12、14、24|20,184,743|16,311,081
其他流动资产|10|24,862,581|20,161,207
流动资产合计||908,399,727|860,767,806
非流动资产|||
发放贷款及垫款|11|2,981,281|2,772,645
长期应收款|12|55,150,088|69,398,137
长期股权投资|13|98,163,517|70,621,039
债权投资|14|9,974,392|5,074,312
其他债权投资||1,008,820|1,003,745
其他非流动金融资产|15|4,531,803|2,839,530
其他权益工具投资|16|11,621,685|10,510,397
投资性房地产|17|8,009,648|7,254,240
固定资产|18|61,167,672|56,111,920
在建工程|19|9,273,848|7,552,112
使用权资产|20|5,907,025|5,292,332
无形资产|21|68,261,159|70,372,417
开发支出||44,962|28,612
商誉|22|359,499|541,705
长期待摊费用||597,875|499,927
递延所得税资产|23|8,075,138|6,423,173
其他非流动资产|24|99,441,867|65,728,750
非流动资产合计||444,570,279|382,024,993
资产总计||1,352,970,006|1,242,792,799
page|178
负债和股东权益|附注五|2021 年 12 月 31 日|2020 年 12 月 31 日
流动负债|||
短期借款|25|46,057,400|49,879,073
吸收存款|26|1,588,529|4,815,608
应付票据|27|90,733,401|84,290,956
应付账款|28|362,063,566|349,327,324
预收款项||94,440|126,257
合同负债|29|150,667,341|131,058,617
应付职工薪酬|30|12,181,104|11,973,312
应交税费|31|9,510,826|8,392,379
其他应付款|32|94,391,304|79,595,459
一年内到期的非流动负债|33|38,703,490|28,573,343
其他流动负债|34|26,089,924|21,592,243
流动负债合计||832,081,325|769,624,571
非流动负债|||
长期借款|35|115,044,574|111,018,145
应付债券|36|29,534,875|26,111,854
租赁负债|37|2,889,378|2,677,405
长期应付款|38|23,141,104|13,689,068
长期应付职工薪酬||108,349|151,359
预计负债||784,053|590,932
递延收益|39|923,734|3,786,970
递延所得税负债|23|1,507,553|1,378,201
其他非流动负债||462,065|125,204
非流动负债合计||174,395,685|159,529,138
负债合计||1,006,477,010|929,153,709
股东权益|||
股本|40|13,579,542|13,579,542
其他权益工具|41|63,253,806|68,258,403
资本公积|42|44,886,585|44,158,849
其他综合收益|43|(1,276,492)|(1,292,262)
专项储备|44|-|-
盈余公积|45|6,789,771|6,139,569
未分配利润|46|141,556,080|123,453,661
归属于母公司股东权益合计||268,789,292|254,297,762
少数股东权益||77,703,704|59,341,328
股东权益合计||346,492,996|313,639,090
负债和股东权益总计||1,352,970,006|1,242,792,799
page|179
项目|附注五|2021 年度|2020 年度
营业收入|47|1,020,010,179|910,324,763
减：营业成本|47|922,126,888|825,987,266
税金及附加|48|3,622,907|3,733,320
销售费用|49|6,147,103|5,667,867
管理费用|50|20,741,919|19,038,444
研发费用|51|20,253,956|18,605,952
财务费用|52|3,683,532|3,496,636
其中：利息费用||6,016,226|5,621,495
利息收入||4,052,385|3,440,961
加：其他收益|55|1,063,418|941,516
投资损失|56|(193,604)|(686,098)
