page|14
科目|本年数|上年数|变动比例（%）
利润表|||
营业总收入|47,819,166,940.47|37,282,871,287.38|28.26
营业收入|46,755,975,362.02|36,238,925,547.37|29.02
营业成本|38,669,905,112.14|28,863,684,916.87|33.97
销售费用|1,457,513,664.15|1,176,571,933.25|23.88
管理费用|2,789,577,618.34|2,619,878,388.04|6.48
财务费用|40,178,417.47|168,473,558.29|-76.15
研发费用|2,109,687,440.50|2,002,738,590.77|5.34
资产处置收益（损失以“-”号填列）|271,943,405.18|7,079,975.17|3,741.02
公允价值变动收益（损失以“－”号填列）|173,613,348.19|-138,205,491.40|不适用
信用减值损失（损失以“-”号填列）|-198,976,953.76|205,360,065.67|-196.89
现金流量表|||
客户存款和同业存放款项净增加额|-2,147,715,368.31|274,373,040.74|-882.77
向其他金融机构拆入资金净增加额|-2,320,607,584.15|467,277,117.81|-596.62
客户贷款及垫款净增加额|1,704,175,429.53|1,163,494,981.87|46.47
存放中央银行和同业款项净增加额|-316,729,234.35|272,815,319.52|-216.10
经营活动产生的现金流量净额|-4,420,888,980.16|-2,748,802,008.23|不适用
其中：扣除财务公司金融业务后经营现金流净额|705,358,729.43|2,401,920,501.16|-70.63
投资活动产生的现金流量净额|-3,052,869,630.90|-680,279,207.00|不适用
取得借款所收到的现金|1,146,850,000.00|435,980,000.00|163.05
筹资活动产生的现金流量净额|-378,255,038.12|-454,241,917.28|不适用
